Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"chicken raising & jesus praising shirt",289,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1448037,15.45,6,85.3,2,5.00,1,0,,0,-9,"Jul, 2025",2,163,4.76
"prettiest girl in the morgue shirt",141,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,764861,16.99,1,16.99,0,-1.00,1,0,,0,0,-,0,151,-1.00
"trump dance qr code t shirt",145,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,782624,19.37,247,6157.5,18,4.74,2,0,,0,35,"Jun, 2025",1,105,16.21
"anal bead tug of war shirt",98,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,58239,19.99,716,14307.32,12,4.30,1,0,,45,10,"Jun, 2025",1,37,59.64
"concacaf gold cup 2025 t shirt",89,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1192912,24.22,112,2676.96,1,5.00,1,0,,0,0,"Jul, 2025",0,95,17.51
"k pop demon hunters shirt kids",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,65023,21.14,833,16784.95,19,4.31,1,0,,0,0,"Jul, 2025",2,129,146.12
"everyone is welcome here tee shirt",278,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1212785,16.91,32,537.04,11,4.22,1,33,,0,0,"Mar, 2025",0,4000,6.16
"boot in your ass t shirt",178,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1142596,19.35,126,2525.07,4,4.62,1,0,,0,0,"Jun, 2025",2,141,41.39
"fifa club world cup 2025 shirt",227,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1273284,25.12,104,2472.06,11,4.78,2,0,,0,-8,"Jun, 2025",0,137,13.68
"lilo and stitch live action shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,282721,22.99,84,1926.89,6,5.00,1,0,,0,-15,"May, 2025",0,298,14.56
"respect the drip baseball shirt youth",385,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,488559,17.42,145,2661.77,6,4.56,1,0,,0,-10,"Jul, 2025",0,399,58.97
"trump flag shirt with qr code",89,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1235863,20.77,194,4857.78,18,4.01,1,0,,0,-13,"Jun, 2025",2,125,14.53
"he's back trump qr code shirt",101,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,512235,16.49,54,890.22,5,4.25,1,0,,0,-7,"Jun, 2025",0,108,14.68
"anti trump fourth of july shirt",282,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1419009,15.29,250,2069.81,14,4.57,1,71,729,0,0,"Jun, 2025",0,478,19.96
"here we go again teacher shirt",1046,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,755722,15.06,21,314.45,1,3.00,1,5,,0,0,"Jul, 2025",0,160,45.45
"president trump t shirt 45 47",32,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,939454,18.31,21,338.75,0,-1.00,1,0,,0,45,"Jun, 2025",0,329,-1.00
"my flabbers have been gasted shirt",865,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1209136,15.79,12,220.11,18,4.60,1,100,,0,0,-,0,128,3.88
"gulf of mexico 1550 t shirt",259,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,611073,16.98,81,1389.16,16,4.64,1,0,,0,4,"Jul, 2025",2,522,10.49
"gulf of mexico t shirt 1550",131,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,622625,16.37,78,1313.5,17,4.53,1,0,,0,4,"Jul, 2025",2,538,11.71
"chicken raising and jesus praising shirt",314,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1448037,15.45,6,85.3,2,5.00,1,0,,0,-9,"Jul, 2025",2,188,4.76
"girls will be girls medusa shirt",1509,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",16,702204,16.68,43,733.12,2,4.27,1,0,,0,0,"Jul, 2025",2,196,25.47
"never killed a mountain lion shirt",258,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,744542,16.32,26,409.56,5,4.12,1,0,,0,0,"Apr, 2025",2,136,15.73
"k pop demon hunters t shirt",381,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,42114,20.61,839,17073.32,15,3.80,1,0,,0,0,"Jul, 2025",1,179,218.79
"i love to finger paint shirt",132,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1257140,17.47,20,346.06,9,4.87,1,0,,0,-3,"Feb, 2025",2,2000,2.63
"mama i'm coming home t shirt",311,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,505218,15.99,0,-,0,-1.00,1,0,,0,0,-,1,228,-1.00
"boy turn that clairo off shirt",246,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,639020,15.61,24,356.61,0,-1.00,1,0,,212,-26,"Apr, 2025",0,18,-1.00
"island boys t shirt epstein trump",425,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,938916,16.59,34,615.46,9,4.18,1,50,,0,0,"Jun, 2025",0,62,8.87
"eat sleep grow, gamer garden shirt",201,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1069701,15.81,38,747.29,4,4.90,1,0,,0,0,-,0,687,45.16
"ducks not in a row shirt",407,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,906171,15.36,20,317.36,2,4.74,1,5,,0,0,-,2,3000,43.54
"girls will be girls shirt medusa",220,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",28,935264,15.8,15,233.81,2,4.57,1,0,,0,0,"Jul, 2025",2,162,14.32
"resisting kings since 1776 t shirt",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",38,759688,16.42,107,1718.1,2,3.17,1,0,,0,-38,"Jun, 2025",0,352,121.95
"4th of july no kings shirt",137,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1188061,16.15,55,931.57,12,3.73,1,0,,0,57,"Jun, 2025",1,1000,31.91
"put a boot in your shirt",291,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1280091,19.27,116,2307.21,5,4.42,1,28,,0,0,"Jun, 2025",3,747,40.60
"no kings in america t shirt",203,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",21,937188,15.8,24,338.7,13,4.33,1,0,,0,-2,"Jun, 2025",2,1000,2.24
"twas the tism m lord shirt",1460,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,820747,16.1,42,686.96,2,5.00,1,0,,0,-167,"Jul, 2025",0,185,23.92
