Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"thunderbolts shirt",422,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,969776,22.99,24,552.07,6,4.69,1,0,,0,-18,"May, 2025",3,605,6.77
"terrifier shirt￼",263,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",32,821709,18.04,7,123.1,14,4.85,1,64,,0,0,-,3,317,0.17
"sprunki shirt",1749,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,300412,20.92,106,2165.62,8,4.53,2,0,,0,-18,"Jul, 2025",3,141,22.35
"elio shirt",228,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1292569,22.33,33,744.54,4,4.83,1,0,,0,341,"Jun, 2025",2,108,8.99
"dih shirt",370,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,719417,18.94,74,1573.15,2,4.55,1,29,,0,0,"Jul, 2025",0,145,85.46
"limoncello shirt",425,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,1265150,16.07,33,502.06,4,4.28,1,9,,0,-28,"Jun, 2025",2,322,16.19
"fascism shirt",242,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,726982,16.66,37,627.59,6,4.60,1,0,,0,-33,"Jun, 2025",3,696,12.35
"skibidi shirt",298,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1371514,17.89,10,176.46,6,4.90,1,0,,0,-16,"Dec, 2024",4,779,3.42
"huntrix shirt",9737,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",20,108659,20.25,650,13540,7,3.62,1,0,,0,0,"Jul, 2025",3,109,357.87
"atlus shirt",314,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,581775,20.99,15,287.21,11,4.80,1,0,,0,-29,"Jul, 2025",0,124,6.38
