Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"dad tax making sure it's not poison shirt",142,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,604234,18.84,52,1080.38,18,4.58,1,338,,0,-14,"Jun, 2025",2,372,17.31
"even the winds and waves obey him shirt",85,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",33,972134,15.99,44,870.68,3,5.00,1,0,,0,5,"Jul, 2025",1,490,31.12
"k pop demon hunters t shirt for kids",368,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,58179,20.76,930,18839.97,17,4.15,1,0,,0,0,"Jul, 2025",0,109,207.36
"well put a boot in your t shirt",236,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1190771,19.62,116,2316.87,4,4.47,1,33,,0,0,"Jun, 2025",1,334,35.97
"well put a boot in your american shirt",256,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1380883,19.83,39,756.48,4,4.65,1,29,,0,0,"Jun, 2025",2,245,9.71
"first day of fifth grade shirt for girls",449,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,540487,17.49,27,413.57,5,4.70,1,0,,0,0,"Jul, 2025",0,1000,2.47
"i love to finger paint shirt im paint",179,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1138554,17.41,21,365.1,10,4.87,1,0,,0,-3,"Feb, 2025",0,120,2.86
"be like subtraction and make a difference shirt",735,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,1025448,15.59,15,248.29,2,5.00,1,0,,0,-20,"Jul, 2025",0,158,24.73
"i know what you did last summer shirt",459,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1388455,19.42,19,343.69,0,-1.00,1,0,,0,0,"Jul, 2025",1,198,-1.00
"put a boot in your ass t shirt",151,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1293155,20.13,119,2372.76,5,4.36,1,6,,0,0,"Jun, 2025",1,131,46.68
"we’ll put a boot in your ass shirt",267,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1203581,19.21,114,2268.26,4,4.62,1,6,,0,0,"Jun, 2025",0,162,43.16
"we'll put a boot in your ass shirt",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1239043,19.15,114,2266.91,4,4.62,1,0,,0,0,"Jun, 2025",0,161,43.16
"just a dad that always came back shirt",259,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,766530,17.35,118,2077.08,20,4.76,2,220,,0,-39,"Jun, 2025",3,396,4.36
"first day of fourth grade shirt for girls",865,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,205563,16.09,44,621.37,2,2.75,1,0,,0,0,"Jul, 2025",1,2000,62.66
"pearls are always appropriate t shirt jackie kennedy",461,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,1013582,16.37,21,341.95,4,4.59,1,0,,0,-21,"Jun, 2025",0,221,6.75
"i can fix anything but stupid t shirt",187,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1205603,16.16,14,241.62,4,4.60,1,9,,0,0,"Jun, 2025",0,243,4.65
"i'm often mistaken for an adult t shirt",39,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1140533,15.78,9,137.94,3,4.59,1,0,,0,0,"Jun, 2025",0,143,6.69
"most definitely not all in a row shirt",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,654629,15.62,5,76.24,1,4.50,1,0,,0,0,-,0,1000,6.00
"last first day of senior year 2026 shirt",400,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,376626,17.52,13,216.51,2,4.80,1,0,,0,0,"Jul, 2025",0,434,15.61
"we the people no kings in america shirt",226,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1444127,16.22,14,228.1,5,4.27,1,0,,0,2,"Jun, 2025",1,539,3.51
"girls will be girls 4th of july shirt",226,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",18,1103110,15.75,175,2621.51,6,3.98,1,0,,0,-23,"Jun, 2025",5,1000,25.84
"well put a boot in your ass shirt",215,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1315061,18.37,97,1765,4,4.42,1,0,,0,-10,"Jun, 2025",1,162,23.16
"first day of 3rd grade shirt for girls",1973,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,189554,17.12,242,3824.98,10,4.70,1,81,,0,0,"Jul, 2025",0,3000,72.05
"dad tax making sure it's not poisoned shirt",267,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,732440,18.38,53,1095.73,11,4.58,1,125,,0,-22,"Jun, 2025",2,313,19.22
"democracy is dying but hey nice fireworks shirt",136,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,883122,16.97,72,1198.81,2,2.17,1,0,,0,0,"Jun, 2025",0,265,73.76
"tap my shoulder if you need prayer shirt",285,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,949848,16.98,48,802.96,7,4.53,1,0,,0,-5,"Jul, 2025",0,156,10.15
"first day of 1st grade shirt for girls",1752,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,217801,16.8,110,1630.16,12,4.70,2,20,-48,0,0,"Jul, 2025",1,9000,59.75
"as far as i know i'm delightful shirt",175,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1386895,18.07,40,760.5,3,4.83,1,4,-69,0,-14,"Jun, 2025",0,1000,65.28
"hang in there it gets worse shirt fallout",204,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,714967,16.42,31,477,4,4.67,1,0,,0,-10,"Jul, 2025",0,155,12.70
"donald trump is your president qr code shirt",94,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,626787,18.49,72,1220.75,3,5.00,1,0,,0,-22,"Jun, 2025",0,330,69.30
"built by immigrants you can't deport history shirt",291,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1461506,15.9,14,215.08,0,-1.00,1,0,,0,0,-,0,840,-1.00
"never killed a mountain lion but ive choked shirt",319,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,768599,15.55,25,404.22,5,4.72,1,0,,0,-21,"Jul, 2025",0,130,19.30
"its a bad day to be a hotdog shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1316962,17.55,51,946.31,3,4.95,1,0,,0,-3,"Jun, 2025",0,365,24.08
"well put a boot in your american flag shirt",90,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,806195,17.75,40,657.01,1,3.50,1,0,,0,0,-,0,142,-1.00
"i ain't first class but i white trash shirt",119,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,719576,17.99,71,1281.5,0,-1.00,1,0,,0,-14,"Jun, 2025",1,219,-1.00
"if genders confuse you go milk a bull shirt",2313,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,661166,19.89,81,1772.39,8,3.95,1,0,,0,-10,"Jun, 2025",1,208,13.30
"i am often mistaken for an adult t-shirt",202,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1299483,15.95,11,163.43,3,4.65,1,0,,0,0,"Jun, 2025",0,124,9.02
"well put a boot in your ass t shirt",112,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,721443,20.77,244,5203.67,2,3.73,1,0,,0,0,"Jun, 2025",0,117,464.80
"we ll put a boot in your american shirt",154,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,814960,19.24,190,4015.8,2,4.24,1,0,,0,0,"Jun, 2025",0,205,329.80
"gulf of mexico t shirt stay salty and resist",76,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1257552,15.32,185,3595.11,19,4.32,1,0,,0,0,"May, 2025",0,245,13.89
"well out a boot in your american flag shirt",38,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,787420,17.78,39,644.01,1,4.00,1,0,,0,0,-,0,147,-1.00
"red white and feral 4th of july shirt kids",144,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1439732,16.89,145,2647.24,4,4.78,1,0,,0,-20,"Jun, 2025",0,511,50.41
"cause well put a boot in your as shirt",111,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,717431,20.22,246,5231.2,2,4.05,1,0,,0,0,"Jun, 2025",0,73,329.80
"aw ship its a family trip 2025 cruise shirt",316,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,712028,15.23,30,489.92,3,4.72,1,0,,0,0,"Jul, 2025",0,463,19.16
"if genders confuse you, go milk a bull t-shirt",32,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,714374,18.57,113,2051.2,6,3.97,1,0,,0,-7,"Jun, 2025",0,127,42.54
"its a bad day to be a hot dog shirt",161,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,726885,18.08,229,4300.93,3,4.83,1,0,,0,0,"Jun, 2025",0,369,120.06
"first day of school coquette bow back to school shirt",285,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,526094,18.21,47,819.48,2,5.00,1,38,,0,0,"Jul, 2025",0,1000,124.68
