Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"superman kingdom come shirt",324,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,240769,20.16,681,13545.9,14,4.52,2,0,,0,-26,"Jul, 2025",1,165,55.26
"cousin camp t shirt",124,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,583371,15.63,122,1449.18,6,4.58,1,0,,0,-17,"Jul, 2025",1,10000,34.73
"texas hill country shirt",148,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,1131861,15.99,6,89.15,1,5.00,1,0,,0,0,"Jul, 2025",0,324,-1.00
"boys baseball drip shirt",237,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,123492,17.17,358,6182.3,20,4.13,1,0,,0,-15,"Jul, 2025",1,1000,53.26
"everyone is welcome shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1220226,16.37,26,424.91,11,4.54,1,0,,0,-6,"Mar, 2025",3,1000,10.24
"foxglove daisy tulip shirt",803,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",20,817074,15.86,42,681.79,9,4.24,2,0,,0,-20,"Jul, 2025",2,255,7.89
"f caw f shirt",612,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",55,266466,15.66,425,5921.6,7,4.80,2,0,,0,0,"Jul, 2025",3,491,86.87
"the righteous gemstones shirt",186,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1277324,22.88,27,611.02,9,4.20,1,119,,0,-27,"Jun, 2025",2,173,4.36
"no kings tee shirt",103,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,707612,16.79,127,2066.98,18,4.38,1,0,,0,-6,"Jun, 2025",3,3000,7.17
"jurassic park rebirth shirt",52,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,338867,22.99,216,4960.43,4,4.59,1,0,,0,-6,"Jul, 2025",0,267,117.36
"fish is calling shirt",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1228808,15.26,56,938.18,8,5.00,1,0,,0,0,"Jul, 2025",2,423,68.28
"pope leo t shirt",249,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,860197,16.29,31,550.1,5,4.81,1,0,,0,-20,"May, 2025",2,6000,11.58
"america 250 t shirt",123,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,888263,18.69,37,681.95,2,4.68,1,0,,0,0,"Jul, 2025",0,10000,34.39
"wicked for good shirt",442,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,645704,19.54,8,170.13,0,-1.00,1,0,,0,0,"Jul, 2025",2,951,-1.00
"kitty biscuits bakery shirt",363,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1393696,16.67,11,167.89,3,4.70,1,0,,0,0,"Jul, 2025",2,186,15.47
"baseball ice cream shirt",370,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,181657,16.7,280,4709.39,15,4.19,1,0,,0,9,"Jul, 2025",1,1000,43.15
"silly goose teacher shirt",680,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1009463,15.92,4,54.72,0,-1.00,1,0,,0,0,-,2,410,-1.00
"trump dancing qr shirt",55,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,592808,19.32,44,804.43,5,4.25,1,0,,0,-7,"Jun, 2025",3,457,14.68
"got too silly shirt",143,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,893079,16.84,77,1180.88,9,4.58,1,0,,0,-6,"Apr, 2025",2,235,15.99
"hunk city rampage shirt",288,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1211950,20.11,13,295.83,2,4.75,1,0,,-16,1,"Jun, 2025",0,39,7.84
"super tuna jin shirt",440,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,867081,18.7,20,360.34,3,3.00,1,15,,0,0,"Jul, 2025",1,165,20.13
"cat smoking t shirt",371,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,461462,17.11,70,1205.09,3,4.83,1,0,,0,0,"Jul, 2025",1,345,42.22
