Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"dead kennedys shirt",329,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1434083,22.3,7,159.59,3,4.62,1,0,,0,0,"Jul, 2025",2,402,5.00
"nba finals shirt",64,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,492979,24.24,218,5230.56,6,4.53,1,0,,0,0,"Jun, 2025",3,139,47.40
"demon hunter shirt",1312,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,34836,20.78,590,12603.48,5,3.71,1,0,,0,-52,"Jul, 2025",4,512,325.49
"due process shirt",88,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1097475,18.31,10,179.54,0,-1.00,1,0,,0,-51,"Jun, 2025",1,1000,-1.00
"isibindi house shirt",597,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,710006,17.23,7,116.95,3,3.97,1,0,,0,0,"Jul, 2025",2,408,4.82
"western teacher shirt",402,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,748731,15.98,35,589.44,4,4.08,1,30,,0,-18,"Jul, 2025",0,2000,13.42
"skibidi rizz shirt",34,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1319251,17.15,9,134.71,9,4.76,1,0,,0,-12,"Dec, 2024",2,7000,3.64
"paige beckers shirt",189,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,492845,30.83,56,1680.33,13,4.75,1,244,,0,-19,"Jul, 2025",0,123,22.04
"tralalero tralala shirt",621,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,782462,16.39,50,872.69,5,4.86,1,0,,0,0,"May, 2025",0,324,10.22
"thunderbolts t shirt",176,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,928535,22.99,26,585.06,7,4.83,1,0,,0,-7,"May, 2025",2,581,8.64
"superman shirt 2025",543,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,388225,19.83,462,9257.91,15,4.70,1,0,,0,-26,"Jul, 2025",3,490,40.51
"democracy collapse shirt",127,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,926976,17.08,123,2129.25,4,4.58,1,0,,0,0,"Jun, 2025",2,85,77.55
"jacob misiorowski shirt",234,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1077458,29.99,13,369.19,0,-1.00,1,0,,0,0,-,0,514,-1.00
"elio pixar shirt",232,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,901842,22.99,35,788.61,4,4.83,1,0,,0,341,"Jun, 2025",0,152,8.31
