Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"prince of darkness t shirt",267,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,1116273,24.75,108,2762.96,5,4.88,1,81,,0,0,-,2,316,66.73
"art the clown shirt terrifier",49,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1256839,21.25,13,245.22,15,4.90,1,64,,0,0,-,1,235,0.17
"dancing trump qr code shirt",137,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,855295,21.49,356,8950.06,20,4.35,2,0,,0,-17,"Jun, 2025",3,436,29.18
"qr code shirt trump dancing",147,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1093286,17.99,51,859.77,3,5.00,1,0,,0,-22,"Jun, 2025",3,104,69.30
"dan da dan anime shirt",80,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,450564,27.05,50,1426.11,12,4.10,1,0,,156,3,"Jun, 2025",0,175,6.39
"just waiting for halloween shirt",547,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",24,1140770,15.11,24,356.3,2,5.00,1,0,,0,-14,"Jul, 2025",2,323,67.48
"mustard shirt kendrick lamar kids",67,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1319776,20.77,18,322.65,4,4.89,1,0,,0,-22,"Jun, 2025",0,74,14.63
"4th grade shirt for girls",2838,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,160112,17.27,95,1666.54,5,4.34,1,85,77,0,0,"Jul, 2025",3,4000,50.28
"elbows up canada t shirt",119,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,1372838,16.65,11,176.74,4,4.03,1,0,,-14,-6,"Mar, 2025",1,285,3.96
"unhinged and feral raccoon shirt",185,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1357062,17.26,8,126.53,4,4.90,1,3,,0,-17,"Jun, 2025",2,382,7.69
"everyone is welcome here shirt",407,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1000162,17.56,45,680.62,12,4.44,1,31,,0,0,"Mar, 2025",3,362,2.73
"us army 250th anniversary shirt",331,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,770831,15.73,40,494.62,5,4.32,1,0,,0,-40,"Jun, 2025",1,288,11.40
"feral and free shirt kids",139,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1234005,16.79,127,2175.9,3,4.34,1,0,,0,0,"Jun, 2025",2,388,74.68
"pope leo xiv t shirt",111,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1232826,16.57,54,975.22,4,4.73,1,0,,0,722,"May, 2025",1,356,32.72
"just a silly goose shirt",177,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,795516,15.41,105,1577.71,11,4.67,1,25,,0,-29,"Jul, 2025",0,481,23.53
"kids kpop demon hunters shirt",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,44994,20.68,879,17836.28,15,4.24,1,0,,0,0,"Jul, 2025",2,246,195.41
"kpop demon hunters shirt girls",1152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,25806,23.17,652,14703.75,8,3.43,1,0,,0,0,"Jul, 2025",2,295,414.99
"kpop demon hunter shirt girls",373,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,62982,20.76,931,18862.55,17,4.15,1,0,,0,0,"Jul, 2025",2,505,201.76
"goose 4th of july shirt",74,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1400747,16.39,134,2124.23,3,4.96,1,0,,0,0,"Jun, 2025",2,499,224.87
"girl will be girls shirt",248,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",24,484213,15.2,208,3067.84,13,4.39,1,0,,0,0,"Jul, 2025",10,30000,34.25
