Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"nassau bahamas t shirt",346,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1326369,17.16,16,246.5,15,4.64,1,109,-20,0,0,"Jul, 2025",0,560,1.79
"mac and cheese shirt",94,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1324299,18.57,8,151.8,13,4.68,1,106,-24,0,-2,"Dec, 2024",2,356,1.69
"flower girl t shirt",273,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,696586,17.66,22,378.46,13,4.54,1,195,-22,650,-13,"Oct, 2023",1,10000,3.05
"brian wilson t shirt",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1316797,24.99,12,278.56,5,4.60,1,61,104,149,-34,"Jun, 2025",0,107,4.60
"you need jesus shirt",13,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1349578,18.87,97,1685.61,11,4.46,1,10,-57,0,-7,"May, 2024",0,933,14.72
"hot air balloon shirt",175,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1460312,17.21,5,74.71,10,4.49,1,28,28,0,-15,"May, 2024",2,395,2.35
"red rocks amphitheater shirt",461,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1183022,22.41,14,297.75,6,4.82,1,72,-21,44,-17,"Jul, 2025",0,291,3.19
"4x cleveland browns shirt",148,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,673794,20.49,22,452.67,12,4.77,1,41,-58,102,3,"Dec, 2024",0,2000,1.13
"uss liberty t shirt",100,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1089147,19.99,20,406.34,11,4.65,1,155,173,956,-6,"Jul, 2025",0,900,1.85
"boys from oklahoma shirt",96,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,701528,17.99,13,236.21,15,4.56,1,79,-9,-8,-31,"May, 2024",2,460,2.74
"lssc scooter t shirt",235,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",31,1452837,17.46,44,975.44,10,4.82,1,44,40,0,21,"Jun, 2025",0,136,3.15
"t shirt naif n",282,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1184886,17.05,9,136.35,12,4.57,1,86,51,1,-18,"Jun, 2025",0,61,1.16
"destin florida t shirt",370,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1241950,17.08,9,133.83,7,4.86,1,38,-13,75,-43,"Jul, 2025",0,483,2.03
"olympic national park shirt",440,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1147088,17.67,7,123.3,10,4.77,1,34,-14,0,-12,"Jul, 2025",0,431,2.49
"neil diamond t shirt",393,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,881175,22.49,13,270.53,15,4.74,1,159,-5,252,-38,"Jun, 2025",0,128,1.23
"red rocks t shirt",407,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1187367,22.18,12,267.59,5,4.72,1,62,-38,0,-5,"Jul, 2025",0,10000,2.92
"lets get lit shirt",168,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1426222,16.31,16,262.64,14,4.89,1,348,-58,0,4,"Dec, 2024",3,163,6.47
"jordan love t shirt",61,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1244639,18.06,9,153.63,8,4.06,2,136,133,0,-9,"May, 2025",0,501,1.71
"crop duster t shirt",246,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1401346,17.62,9,156.61,7,4.74,1,64,-66,0,-12,"Dec, 2024",1,163,3.09
"eminem t shirt kids",100,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,826744,18.49,20,372.72,10,4.80,1,151,274,0,-3,"Dec, 2024",1,106,2.20
"legend never die shirt",38,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,1016226,19.09,30,571.46,14,4.59,1,238,71,0,4,"Oct, 2024",3,1000,3.06
"ozzy osbourne sleeveless shirt",346,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,237085,23,57,1291.39,6,4.62,1,13,-2,0,1,"Jul, 2025",0,968,26.40
"ozzy osbourne muscle shirt",218,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,298327,22.84,48,1082.82,6,4.65,1,13,-34,0,1,"Jul, 2025",0,223,17.76
