Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"cambodia shirt",392,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,784718,18.28,5,77.34,8,4.83,1,32,-17,0,0,"Apr, 2024",0,10000,1.45
"beans shirt",116,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1324520,18.79,6,104.82,20,4.70,1,74,-38,-75,-26,"Dec, 2024",5,2000,1.06
"pelicans shirt",88,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,973259,19.37,6,106.92,6,4.70,1,79,100,27,-7,"Nov, 2024",4,859,1.25
"templar shirt",176,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1112190,18.55,17,305.88,16,4.54,1,99,129,0,1,"Jul, 2025",3,1000,1.69
"hippopotamus shirt",117,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1146632,18.22,8,130.35,19,4.56,1,75,-42,200,-6,"Dec, 2023",3,553,1.00
"amidala shirt",154,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1195520,23.22,29,657.98,20,4.49,1,95,-2,-89,-21,"Apr, 2025",2,251,1.68
"matrix shirt",117,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1481172,21.39,11,220.76,16,4.18,1,68,-58,0,-12,"May, 2024",2,230,2.20
"groundhog shirt",231,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1415167,16.59,8,125.53,20,4.64,1,134,-37,0,-2,"Jan, 2024",4,30000,1.23
"domino shirt",49,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1414006,18.69,6,104.2,8,4.78,1,50,1,0,7,"Jun, 2025",3,10000,1.16
"seaside shirt",462,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1319697,17.99,225,3424.31,11,4.28,2,33,51,198,-25,"Jul, 2025",2,3000,7.28
"orthodox shirt",385,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1254807,19.1,11,207.51,13,4.69,1,89,1,15,-12,"May, 2024",1,522,1.84
"caberneigh shirt",129,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1048900,18.18,11,195.93,15,4.47,1,65,-24,127,-5,"Jun, 2025",0,76,2.06
"predator shirt",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1013667,22.42,23,509.71,13,4.70,1,87,63,122,-23,"Jun, 2025",4,1000,2.93
"undertale shirt",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",75,428670,16.55,56,707.13,20,4.84,2,604,76,67,-10,"Dec, 2024",3,207,32.59
"pancake shirt",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1110156,16.62,9,139.27,16,4.62,1,110,13,-16,-23,"Apr, 2025",3,637,1.82
"booze shirt",192,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,1336386,20.03,109,2142.89,12,4.62,2,296,34,1348,-12,"May, 2025",2,944,5.24
"prefontaine shirt",57,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1124956,21.37,13,261.57,18,4.65,1,138,-16,0,-8,"Dec, 2024",0,168,1.18
