Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"brown bear brown bear shirt",123,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1444574,18.43,29,462.06,11,4.53,1,102,8,-29,-7,"Oct, 2024",2,5000,2.67
"home alone long sleeve shirt",109,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1385987,20.98,5,95.21,9,4.91,1,120,-35,0,0,"Dec, 2023",0,1000,1.07
"sacred heart of jesus shirt",218,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1418541,18.85,12,212.16,19,4.66,1,129,-20,30,6,"Jun, 2025",1,360,1.37
"4th of july shirt maternity",174,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,622204,15.73,290,4187.41,20,4.58,1,306,105,0,-5,"Jun, 2025",2,3000,48.72
"b2 stealth bomber t shirt",151,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1212095,18.11,32,570.92,5,4.82,1,17,1520,0,0,"Jul, 2025",0,232,15.24
"trust the process t shirt",16,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,846374,15.99,1,9.87,2,4.40,1,6,-60,-117,-11,"May, 2024",2,167,0.32
"old dominion band t shirt",162,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1144796,23.46,24,459.36,20,4.57,1,100,-18,64,-6,"Sep, 2023",2,242,1.54
"dc long sleeve t shirt",227,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1333920,28.92,23,688.85,15,4.73,1,133,73,0,-40,"Oct, 2024",2,800,2.40
"alaska long sleeve t shirt",154,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,662157,22.31,49,977.51,16,4.43,2,210,-31,0,-11,"May, 2024",0,30000,7.57
"virgen de guadalupe shirt kids",174,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1440282,16.73,6,102.17,13,4.57,1,65,2,-77,-20,"Apr, 2025",0,165,0.52
"big justice and aj shirt",11,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1208129,17.53,48,832.73,17,4.45,1,40,-14,0,-9,"Jun, 2025",0,98,8.86
"little spot of feelings shirt",201,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1423810,16.2,7,109.83,20,4.37,1,229,10,214,-34,"Oct, 2024",0,2000,0.58
"dave dave dave t shirt",208,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1209402,17.72,14,253.15,19,4.76,1,206,333,27,-19,"Nov, 2023",3,1000,1.93
"dave matthews band shirt xxl",251,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,828538,19.23,24,442.85,18,4.66,1,208,732,0,-25,"Jul, 2025",0,233,5.76
"worlds best big sister shirt",154,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,695960,16.67,123,1356.85,20,4.79,1,841,263,1020,-25,"Jul, 2025",0,30000,11.62
"i rented this hooker shirt",81,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1266724,16.69,21,330.64,19,4.63,1,129,1,357,-6,"May, 2025",1,789,8.54
"la 28 olympics t shirt",184,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1228209,17.25,22,366.28,12,4.73,1,275,53,244,-8,"Jul, 2024",0,77,1.69
"whatever sprinkles your donut shirt",181,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1382663,16.6,9,138.02,18,4.39,1,177,30,0,-30,"May, 2025",0,122,1.28
