Phrase,Search Volume,Category,Fulfillment,Size Tier,Variation Count,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Sellers,Last Year Sales,Sales Year Over Year,Sales Trend (90 days),Price Trend (90 days),Best Sales Period,Broad Reach Potential,Number of competing products,Sales to Reviews
candy crew t shirt,349,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1156100,16.48,22,352.32,10,4.56,1,173,,0,0,"Oct, 2024",2,867,3.76
zach bryan shirt kids,135,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,25,707901,23.59,78,2616.67,13,3.95,1,33,,0,54,"May, 2025",0,209,23.91
indy 500 shirt vintage,186,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1386656,23.27,21,475.83,7,4.69,1,15,,0,-6,"May, 2025",2,384,5.65
45 and 47 shirt,90,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,1090597,17.74,22,357.61,2,4.33,1,0,,0,0,"Jun, 2025",4,1000,34.78
hello 3rd grade shirt,20,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,554386,15.32,18,289.27,7,4.78,1,82,,0,0,"Jul, 2025",2,852,2.69
skibbidi rizz christmas shirt,61,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1159288,15.69,11,167.52,14,4.6,1,89,,0,-10,"Dec, 2024",0,110,1.5
i'm back trump shirt,23,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1483993,17.05,79,1322.31,14,4.88,1,0,,0,-19,"Jun, 2025",1,378,15.66
juan soto t shirt,39,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,862060,23.75,25,581.46,6,4.13,1,0,,0,-12,"Mar, 2025",2,2000,4.38
fart smeller t shirt,46,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1274481,16.57,53,842.49,6,4.61,1,259,,0,-23,"Dec, 2024",0,181,23.89
4th grade shirt girls,612,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,161666,17.77,132,2376.92,9,4.76,1,174,28,0,-11,"Jul, 2025",3,4000,47.52
little pecker club shirt,1223,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,3,1378753,19.41,29,554.77,17,4.81,1,208,,-19,-36,"Dec, 2024",1,108,3.47
dog in me shirt,104,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,477373,17.33,84,1543.19,19,4.55,2,805,-2,0,-7,"May, 2025",4,1000,13.66
1st grade thing shirt,221,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,166642,17.14,91,1444.22,7,4.9,1,93,96,0,0,"Jul, 2025",0,429,56.04
i eat cement shirt,1742,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1087291,17.19,46,843.7,8,4.88,1,26,,0,0,-,2,152,19.07
mom vibes t shirt,169,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,9,864516,18.77,29,452.5,18,4.57,2,314,,-105,-12,"May, 2025",2,4000,2.1
skibidi rizzmas shirt kids,101,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1013786,16.07,5,81.97,13,4.73,1,0,,0,-9,"Dec, 2024",1,106,2.12
bruh christmas shirt kids,162,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1430578,16.39,8,137.82,12,4.73,1,150,,0,-28,"Dec, 2024",0,10000,1
skibbity rizz sigma shirt,258,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1072624,18.04,7,116.01,9,4.63,1,39,,0,-7,"Dec, 2024",0,366,1.62
mardi gras 2025 shirt,160,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,5,1182211,17.12,6,109.27,9,4.45,1,34,,0,-21,"Feb, 2025",0,956,2.54
bruh we back shirt,774,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,9,374439,15.85,71,905.31,13,4.55,1,261,,0,0,"Aug, 2024",3,1000,7.4
alpha wolf t shirt,130,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,418070,17.49,90,1591.4,17,4.67,1,228,,0,-10,"Dec, 2024",0,682,23.94
mom of graduate shirt,111,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,2,1069253,17.63,14,232.3,15,4.54,1,0,,0,0,"May, 2025",4,4000,2.34
silly goose t shirt,262,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,369216,15.71,138,2084.01,10,4.64,1,18,44,-25,-19,"Jul, 2025",1,1000,18.3
white chris brown shirt,344,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,32,148450,17.53,57,1044.29,6,4.2,1,47,,0,0,"Jun, 2024",1,332,11.38
big dumper t shirt,145,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1003831,26.48,49,1363.07,4,4.76,1,35,-27,0,11,"Jul, 2025",1,175,48.18
retired 2025 t shirt,121,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,2,701640,17.79,47,800.18,14,4.73,1,0,,-85,-11,"May, 2025",1,1000,7.45
fuck ice t shirt,181,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,872034,16.35,30,504.76,3,4.33,1,28,,0,0,"Jun, 2025",2,250,31.88
monster jam girls shirt,71,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,864787,17.12,41,762.63,11,4.41,2,340,,0,0,"Mar, 2025",2,640,11.47
d generation x shirt,412,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,16,897958,15.75,40,613.47,13,4.62,2,36,,0,-6,"Apr, 2025",2,140,6.08
korn long sleeve shirt,37,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,334236,25.09,82,2143.4,13,4.6,2,0,,12,-14,"May, 2025",0,141,10.36
the cars band shirt,97,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1076264,22.76,76,1639.68,8,4.43,1,1,,0,-10,"May, 2025",2,1000,17.75
straight is great shirt,170,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1467836,16.21,30,467.01,12,4.93,1,56,-8,0,-30,"Jul, 2025",0,50000,6.46
fourth grade shirt girls,264,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,243543,15.83,82,1187.47,3,4.73,1,37,77,0,-23,"Jul, 2025",2,60000,77.68
senior football mom shirt,95,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,1152156,16.86,12,163.47,3,4.94,1,8,,0,-12,"Jul, 2025",2,10000,5.09
ilia topuria ufc shirt,178,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,6,904854,43.88,11,434.02,3,5,1,20,,0,-11,"Jul, 2025",0,74,7.99
juan soto shirt mets,87,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,751685,24.68,30,684.13,3,4.23,1,0,,111,-6,"Jun, 2025",2,512,10.74
trump daddies home shirt,42,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,941181,17.3,43,756.56,7,4.89,1,0,,0,-19,"Jun, 2025",4,231,14.73
moana 2 t shirt,134,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,5,506280,20.7,80,1450.79,15,4.58,1,0,,0,1,"Apr, 2025",0,2000,7.78
chinga tu maga shirt,336,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1472921,16.05,15,238.06,5,4.59,1,18,,0,0,"Jun, 2025",1,134,11.69
trump bloody ear shirt,77,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,672285,17.38,145,2487.36,7,4.69,1,17,,0,-11,"Jun, 2025",1,175,98
trump 2024 bulletproof shirt,165,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1338018,17.92,8,141.06,6,4.17,1,0,,0,-16,"Nov, 2024",0,337,0.72
tattoos are trashy shirt,366,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,9,583827,17.45,88,1742.2,19,4.31,1,315,,-53,0,"Jun, 2025",0,310,3.86
chris brown tee shirt,442,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,27,159567,17.44,42,712.53,11,4.2,1,148,,0,0,"Jun, 2024",2,935,8.95
what the sigma shirt,402,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,975147,17.55,11,182.65,9,4.79,1,224,,-69,-39,"Dec, 2024",2,318,2.31
fathers day baseball shirt,55,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,934055,17.37,54,1119.05,5,4.75,1,17,-31,0,-57,"Jun, 2025",0,7000,25.29
girls 5th grade shirt,312,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,224712,16.64,74,1221.15,4,4.84,1,54,18,0,0,"Jul, 2025",3,4000,66.62
amistad house shirt red,90,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1451861,17.57,4,64.43,4,4.63,1,0,,0,0,-,0,414,1.8
mom monster truck shirt,151,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,485784,18.3,37,660.98,6,4.64,1,27,,0,-6,"Jun, 2025",2,914,22.01
skibidi toilet t shirt,38,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,973456,17.11,13,223.87,9,4.7,1,28,,0,-16,"Dec, 2024",1,152,4.16
1st grade girl shirt,392,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,105646,17.49,286,4596.31,14,4.62,1,161,14,0,-32,"Jul, 2025",4,10000,58.83
fever 22 t shirt,48,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,30,666919,21.34,123,3204.1,19,4.57,2,369,,0,-6,"Jun, 2025",0,123,10.74
mama est 2025 shirt,109,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1430724,16.8,8,129.75,4,4.83,1,54,,0,-1,"Apr, 2025",0,786,4.73
field day red shirt,89,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1317870,16.99,27,440.83,7,4.73,1,427,708,0,-17,"May, 2025",2,4000,8.37
worldwide handsome jin shirt,268,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,793058,17.99,40,634.87,0,-1,1,0,,0,0,"Jul, 2025",0,42,-1
toonces driving cat shirt,344,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1315912,15.79,9,138.12,9,3.8,1,50,58,0,-36,"Jul, 2025",0,144,6.87
little dragon t shirt,213,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,299333,17.01,126,2454.43,17,4.72,2,216,,0,0,"Jul, 2025",0,80000,10.01
lets go bananas shirt,319,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,281212,18.05,148,2928.9,18,4.58,1,41,-9,0,-21,"Jul, 2025",0,279,10.87
big league chew shirt,439,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,10,1287264,27.23,30,784.59,9,4.95,2,0,,0,-20,"Jul, 2025",0,132,10.36
labor and delivery shirt,221,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,918637,15.46,13,191.92,2,4.93,1,5,,-71,-6,"May, 2025",4,1000,9.06
trenton thunder t shirt,288,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,376398,15.29,19,304.01,3,3.9,1,0,,0,-48,"Jun, 2025",0,201,6.31
all saints t shirt,1973,"Clothing, Shoes & Jewelry",Amazon,Small Standard-Size,32,325442,68.74,94,7387.46,5,3.88,1,0,,0,0,"Jul, 2025",2,334,75.12
dumpster fire t shirt,276,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,796209,16.95,19,318.18,12,4.37,1,139,66,0,-12,"Jul, 2025",0,443,2.35
oasis definitely maybe shirt,38,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,163531,26.47,148,3738.48,3,4.45,2,0,,0,-17,"Dec, 2024",0,74,57.22
oregon ducks t shirt,47,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,2,537134,20.74,25,501.93,12,4.4,1,54,,729,-6,"Dec, 2024",2,1000,3.98
ten and fabulous shirt,223,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,787510,17.43,22,380.66,7,4.76,1,55,,0,-12,"May, 2025",0,6000,6.16
sound of music shirt,190,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1128468,18.99,10,182.4,0,-1,1,0,,46,-22,"May, 2025",1,1000,-1
yu gi oh shirt,202,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,953487,20.65,26,521.25,12,4.68,1,42,-34,99,-47,"Jul, 2025",1,144,12.91
christmas shirt for nurses,86,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,13,1293397,16.56,4,57.22,16,4.72,1,111,,300,-21,"Dec, 2024",5,6000,0.61
kid mardi gras shirt,193,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,8,969478,18.36,11,203.97,18,4.71,1,283,,0,-2,"Feb, 2025",3,1000,1.73
level 10 birthday shirt,204,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,775097,15.57,85,1489.59,13,4.74,1,13,-61,-20,-28,"Mar, 2025",1,3000,7.29
chicago cubs grandma shirt,110,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,6,263857,25.16,203,7357.62,8,4.42,2,112,,0,0,"May, 2025",0,377,30.72
rolling fatties cat shirt,611,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1299275,16.57,11,180.62,9,4.87,1,52,-22,0,-34,"Jul, 2025",2,272,5.44
ghost malone t shirt,50,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,5,353892,25.58,86,2342.43,19,4.76,1,50,,0,-8,"Jul, 2025",0,142,19.04
prek shirt for girls,2044,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,181670,15.43,108,1349.97,13,4.87,2,140,45,0,0,"Jul, 2025",2,7000,24.67
teacher retirement t shirt,167,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,5,621066,16.95,63,996.3,14,4.58,1,9,18,0,0,"May, 2025",2,3000,6.44
moo deng tee shirt,24,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1253491,16.82,6,88.76,6,5,1,0,,0,0,-,0,1000,2.08
jesus won t shirt,71,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1336834,18.48,10,165.49,4,4.67,1,0,,0,-6,"Jan, 2025",1,562,3.23
unhinged and feral shirt,108,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1465976,17.21,49,798.56,7,4.84,1,163,,0,-15,"Jul, 2025",2,344,9.79
trump busch light shirt,122,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,418739,16.76,194,3597.42,17,4.68,1,520,,0,25,"Jun, 2025",3,179,28.24
cute but feral shirt,233,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,10,723659,16.62,52,844.07,8,4.63,2,212,,0,-16,"Jul, 2025",2,329,11.02
skibidi toilet shirt boys,14,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1037487,17.61,12,211.96,8,4.71,1,39,,0,-22,"Dec, 2024",0,140,4.59
4th grade girl shirt,32,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,469670,15.5,64,930.53,15,4.98,2,149,13,0,429,"Jul, 2025",3,3000,14.23
mets juan soto shirt,148,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,873776,26.16,24,560.15,6,4.17,1,0,,0,3,"Dec, 2024",2,437,5.02
trump cowboy t shirt,81,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1459965,17.8,14,256.41,7,4.8,1,38,,0,-26,"Nov, 2024",1,1000,2.73
luka lakers t shirt,138,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,1025408,25.58,8,198.26,5,4.54,2,17,,-71,-36,"Apr, 2025",0,653,3.99
mardi gras alligator shirt,88,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,32,1122276,18.76,25,425.56,13,4.87,1,185,,186,0,"Feb, 2025",0,250,3.52
astro bot shirt kids,80,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,654965,22.95,47,944.61,7,4.43,1,0,,211,-14,"Jul, 2025",0,140,10.74
game day shirt kids,202,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,7,532024,15.28,40,635.22,10,4.7,1,51,,0,-5,"Feb, 2025",1,100000,3.44
army 250th anniversary shirt,278,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,25,590637,17.23,142,2178.63,18,4.55,2,36,,0,0,"Jun, 2025",2,270,9.31
death stranding 2 shirt,173,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1022429,25.33,28,702.56,2,3.67,1,17,,0,2,"Jul, 2025",0,67,23.46
86 46 t shirt,248,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,996217,17.53,40,664.29,19,4.46,1,1,-99,0,-30,"Jun, 2025",0,364,3.07
gay son brat shirt,154,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,929224,16.97,28,465.73,2,4,1,0,,-88,-2,"Apr, 2025",0,96,18.49
dead dad shirt funny,196,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1390786,17.24,8,119.71,2,4.25,1,5,,0,-33,"Jun, 2025",0,819,5.98
juan soto mets shirt,130,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,94,557574,25.34,40,972.3,5,4.18,2,0,,111,-6,"Jun, 2025",2,177,10.96
2025 mom graduate shirt,75,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,1090094,18.13,16,300.91,11,4.45,1,33,,0,0,"May, 2025",3,2000,2.33
forst grade shirt girls,328,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,8,77498,15.81,307,4688.45,13,4.6,1,184,32,0,129,"Jul, 2025",0,347,46.21
black chris brown shirt,329,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,33,134488,17.44,159,2294.83,11,4.38,1,39,,0,-14,"Jun, 2024",0,4000,12.75
journey tour shirt 2018,261,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,17,708015,26.18,48,1192.54,16,4.55,2,286,,0,-16,"Aug, 2024",0,141,4.72
