Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"twisters 2024 movie t shirt",100,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,936943,26.49,14,319.44,11,4.65,1,0,,-4,-16,"Aug, 2024",0,58,1.46
"wild flowers wild horses shirt",278,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1261637,17.18,25,428.18,8,4.72,1,200,,0,-29,"Jul, 2025",1,145,6.70
"liberal fourth of july shirt",183,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1247020,16.15,190,2904.99,11,4.52,1,107,408,0,0,"Jun, 2025",2,767,20.41
"the math ain't mathin shirt",446,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1356215,15.99,7,103.47,3,4.27,1,0,,0,-1,"Jul, 2025",1,214,2.38
"benson boone shirt kids youth",127,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,737200,17.78,39,686.75,5,4.63,1,27,,0,0,"Jun, 2025",0,183,19.78
"cal raleigh big dumper shirt",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",45,352838,30.88,132,4954.59,11,4.57,2,138,143,0,-67,"Jul, 2025",0,153,33.08
"you call it ocd shirt",543,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,644028,16.73,8,134.69,2,2.90,1,0,,0,0,-,0,500,0.00
"zack mckinstry detroit tigers shirt",125,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,468001,22.95,213,4892.58,3,4.00,1,0,,0,-26,"Jun, 2025",0,122,141.32
"first day if kindergarten shirt",393,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,83437,17.32,411,6155.59,13,4.56,1,363,,0,-70,"Jul, 2025",4,5000,36.47
"democrat fourth of july shirt",249,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1447797,16.39,68,1138.88,5,4.51,1,87,430,0,0,"Jun, 2025",0,532,29.32
"bigfoot fourth of july shirt",154,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,848003,17.85,196,3554.26,16,4.00,1,198,64,0,26,"Jun, 2025",0,654,56.83
