Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"vet tech shirt",281,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1161881,17.34,13,234.46,6,4.84,1,12,-22,0,-38,"Apr, 2025",2,976,5.15
"tigers t shirt",44,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,463718,21.41,108,2354.98,13,4.67,1,17,,0,-20,"Jul, 2025",4,10000,18.37
"4t dodgers shirt",43,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1001604,15.29,17,296.24,15,4.10,1,0,,-92,1,"Oct, 2024",1,1000,1.16
"glow birthday shirt",147,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,643854,17,26,464.43,6,4.29,1,60,,0,-22,"Jun, 2025",2,5000,10.75
"brew crew shirt",270,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",20,876454,20.99,89,2106.65,17,4.24,1,507,,0,-15,"Jul, 2025",1,665,32.90
"dio t shirt",508,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1144187,26.54,19,507.13,7,4.75,1,111,,0,-33,"Dec, 2024",2,465,3.52
"girls wolf shirt",63,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",36,609565,15.66,87,1200.9,18,4.58,2,9,,0,0,"Dec, 2024",2,2000,6.14
"dank meme shirt",145,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,366689,19.7,99,2107,14,4.38,1,159,,0,0,"Aug, 2024",1,859,14.04
"merry rizzmas shirt",28,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1066312,15.49,3,38.72,10,4.63,1,37,,0,-35,"Nov, 2024",2,3000,0.16
"will wood shirt",344,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1264147,19.24,29,484.79,5,4.80,1,7,127,107,-11,"Jul, 2025",5,830,6.34
"the rizzler shirt",171,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1177795,19.49,10,173.2,7,4.46,1,103,20,-13,-7,"Dec, 2024",2,650,2.32
"kelsey mitchell shirt",88,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1310640,24.98,17,485.97,7,4.60,1,7,,0,-27,"Jul, 2025",1,241,4.83
"sequin ghost shirt",70,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,525142,24.55,30,977.88,11,4.71,1,16,,0,-11,"Jul, 2025",0,198,17.08
"cars mom shirt",132,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,587740,19.61,178,3870.01,14,4.85,1,19,,0,-17,"Jul, 2025",2,4000,25.77
"dark romance shirt",336,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1201823,16.63,6,100.05,5,4.96,1,26,-41,0,0,"Jul, 2025",0,3000,3.44
"daddy’s home shirt",180,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,877134,15.94,50,842.34,8,4.76,1,33,,0,-6,"Jun, 2025",5,2000,16.07
"spooky nurse shirt",31,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1457895,15.59,10,139.74,12,4.55,1,266,,0,-38,"Oct, 2024",0,30000,5.14
"cat ghost shirt",241,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,920697,15.48,29,448.36,19,4.64,1,359,-14,0,-17,"Jul, 2025",1,932,9.82
