Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"first day of preschool shirt girl",510,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,300925,16.81,27,441.65,19,4.85,1,140,,0,0,"Jul, 2025",2,6000,9.21
"qr code t shirt f you",115,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,940157,15.61,25,429.59,15,4.32,1,175,,0,-6,"Jun, 2025",0,136,11.88
"in my summer camp era shirt",200,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1496188,18.14,16,288.69,2,5.00,1,17,,0,-31,"Jun, 2025",0,153,9.84
"year of the snake shirt kids",94,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1499734,19.55,4,66.39,8,4.66,1,0,,0,-9,"Jan, 2025",0,10000,0.72
"gulf of mexico long sleeve shirt",160,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",53,1464404,18.59,10,133.38,15,4.40,1,0,,-94,-22,"Mar, 2025",2,4000,1.57
"got too silly goose t shirt",96,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,934814,15.98,105,1575.52,10,4.51,1,5,,0,-18,"Jul, 2025",0,3000,13.96
"as i was saying trump shirt",119,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,557787,16.17,88,1457.66,12,4.50,1,0,,0,4,"Jun, 2025",0,359,11.56
"proud member of gen x shirt",36,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1159465,18.08,36,681.16,16,4.33,2,85,,0,0,"Jul, 2025",0,252,4.21
"convict in hillbilly shirt trump & vanche",95,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1486280,16.47,31,491.65,13,4.74,1,0,,0,-23,"Jul, 2025",0,130,5.83
"resist protect our national parks shirt",37,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1052703,16.55,28,477.1,9,4.61,1,33,564,0,-33,"Jun, 2025",0,2000,5.62
"jesus disappointments all of you shirt",120,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,740093,16.36,36,562.57,10,4.33,1,163,,0,-2,"Jun, 2025",2,178,8.48
"mom of a 2025 graduate shirt",286,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1233337,17.57,11,173.67,16,4.50,1,143,,0,-9,"May, 2025",3,1000,1.58
"last toast on the coast shirt",269,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1395086,16.12,7,105.72,4,4.15,1,33,312,0,0,"Jul, 2025",1,171,6.12
"family matching fourth of july shirt",79,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,377933,15.81,641,9836.43,9,4.67,1,338,,0,0,"Jun, 2025",2,60000,140.95
"anti trump shirt 4th of july",180,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1163271,16.05,73,1210.85,6,4.56,1,113,408,0,0,"Jun, 2025",3,611,20.44
"equal rights 4th of july shirt",218,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1235411,16.73,211,3230.24,14,4.50,1,131,697,0,-36,"Jun, 2025",2,649,28.56
"first day of kindergarten t shirt",354,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,164209,17.09,251,3875.4,15,4.38,1,161,,0,-23,"Jul, 2025",1,60000,30.94
"star stripes and equal rights shirt",233,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1339589,16.97,69,1177.47,9,4.30,1,175,501,0,0,"Jun, 2025",2,509,8.11
"i heart my cougar girlfriend shirt",446,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,756855,17.93,41,773.7,5,4.68,1,126,,0,0,"Feb, 2025",2,315,8.89
"i love my cougar girlfriend shirt",2313,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1087419,18.02,31,595.92,4,4.86,1,100,,0,-13,"Jul, 2025",2,316,6.46
"in my 3rd grade era shirt",378,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,816865,16.63,7,101.41,4,5.00,1,72,-47,0,-6,"Aug, 2024",1,429,5.16
"4th of july anti trump shirt",171,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1225535,15.58,77,1311.31,7,4.58,1,87,497,0,0,"Jun, 2025",3,620,21.78
"field day t shirt for teacher",264,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1043217,15.71,15,228.36,8,4.36,1,149,5872,0,-32,"May, 2025",0,1000,1.83
"liberal 4th of july shirt kids",252,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1179638,18.02,85,1474.57,5,4.71,1,84,608,0,0,"Jun, 2025",0,525,41.92
"4th of july shirt anti trump",199,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,404952,18.43,215,3915.69,12,4.77,1,30,130,0,-15,"Jun, 2025",3,1000,16.32
"jelly roll beautifully broken tour shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,1057195,29.09,49,915.56,14,4.60,2,65,,0,-3,"Nov, 2024",1,78,15.38
"they not like us t shirt",36,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1358579,17.32,8,133.76,3,4.86,1,0,,0,-30,"Jun, 2025",2,1000,4.17
"hold on partner im overstimulated shirt",243,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1159069,17.61,32,565.37,20,4.64,1,0,,0,1,"Dec, 2024",1,178,4.77
"officially a handful 5th birthday shirt",400,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1082824,16.35,21,330.09,11,4.77,1,118,,0,-25,"Jul, 2025",0,280,7.04
"sorry merica full donald trump shirt",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,950761,17.74,176,3226.96,5,4.83,1,63,,0,0,"Jul, 2025",0,1000,125.32
"skibidi rizz gyatt ohio sigma shirt",44,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1227094,17.49,17,273.36,9,4.63,1,0,,-71,-34,"Dec, 2024",2,940,2.87
"bad two the bone toddler shirt",73,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,928439,16.69,12,189.24,3,4.73,1,0,,0,-55,"Jun, 2025",1,169,5.88
