Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"team jeremiah shirt the summer i turned pretty",204,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1075856,18.18,118,2202.46,15,4.58,1,178,-21,0,-34,"Jul, 2025",1,108,8.82
"when injustice becomes law resistance becomes duty shirt",221,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1211612,17.08,29,358.58,13,4.73,2,60,1237,0,-7,"Jun, 2025",0,233,2.86
"where the hell have you been loca shirt",316,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,1031396,20.32,26,529.01,7,4.58,1,89,3049,0,-28,"Jun, 2025",2,173,5.41
"dont like me f off problem solved shirt",440,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,1199374,16.57,13,214,13,4.63,1,42,-43,0,-15,"Jul, 2025",0,170,5.31
"team conrad shirt the summer i turned pretty",422,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,478085,18.37,102,1916.48,11,4.64,1,140,-17,0,0,"Jul, 2025",0,147,19.13
"i love sucking sick with my butthole shirt",58,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1464681,17.16,15,250.76,7,4.71,1,67,-3,0,-2,"Dec, 2024",0,66,5.31
"i told myself i should stop drinking shirt",373,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",16,1420897,15.52,18,286.98,14,4.68,1,10,-52,0,0,"Jul, 2025",0,616,5.34
"im just here for the snacks toddler shirt",187,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,707251,15.63,47,605.18,11,4.58,1,243,-46,151,0,"Apr, 2025",0,1000,3.87
"bad day to be a twisted tea shirt",302,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",21,1253568,17,22,307.83,12,4.43,1,120,-51,0,-23,"Jun, 2024",0,58,4.64
"cousins beach shirt the summer i turned pretty",183,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,293468,19.49,181,3481.07,13,4.37,1,284,-4,0,-25,"Jul, 2025",0,113,15.11
"too old to fight to slow to run shirt",427,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1288692,16.77,8,138.25,4,4.52,1,39,-91,0,-14,"Jun, 2025",0,123,2.47
"touch my beard and tell me i'm pretty shirt",803,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1087970,17.53,24,405.94,18,4.63,1,128,27,0,0,"Jul, 2025",0,127,16.06
"born to hunt forced to go to school shirt",365,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1128891,16.44,13,184.1,4,4.83,1,32,195,0,-45,"Jul, 2025",0,453,2.11
"letter s funny chipmunk group matching halloween costume t-shirt",305,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1336531,16.99,12,200.28,3,4.93,1,46,-83,-27,-26,"Mar, 2025",0,202,13.89
"you can't tell me what to do you're not my daughter shirt",289,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1144988,16.67,23,332.92,19,4.71,2,390,216,0,-30,"Jun, 2025",1,390,3.71
