Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"spanish teacher shirt",735,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,706829,16.03,13,207.49,7,4.65,1,105,-16,0,-14,"Aug, 2024",1,1000,2.92
"bus driver shirt",1300,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,385953,17.03,24,389.52,19,4.59,1,99,16,0,-3,"Jul, 2025",3,1000,3.46
"snooki t shirt",283,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,712185,20.21,41,820.71,16,4.59,1,126,-42,0,-11,"Oct, 2024",1,563,9.43
"princess protection shirt",134,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,942705,16.03,70,1201.35,7,4.64,1,192,-15,4,-6,"Jun, 2025",2,1000,14.83
"zebra shirt kids",115,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",21,899026,18.68,25,533.51,15,4.73,1,491,-7,-30,-28,"Feb, 2025",0,1000,2.04
"g shock shirt",197,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1145792,19.99,2,36.15,0,-1.00,1,0,,-107,6,"Mar, 2025",2,12,-1.00
"sixth grade shirt",451,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,361176,16.89,30,510.47,7,4.60,1,89,8,0,0,"Aug, 2024",2,1000,11.00
"horse trainer shirt",279,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,801141,16.65,26,423.94,17,4.58,1,198,-31,0,0,"Jul, 2025",0,598,5.41
"nail tech shirt",378,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,808649,15.49,24,259.66,14,4.67,1,115,-67,0,-42,"Dec, 2024",1,317,1.56
"lunch lady shirt",373,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,449322,15.55,18,257.53,6,4.53,1,24,-15,0,-40,"Jul, 2025",4,2000,14.78
"hicksville t shirt",415,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1060747,16.99,0,-,0,-1.00,1,0,,0,0,-,0,1000,-1.00
"mountain hardware shirt",240,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",64,801022,43.18,53,2397.45,9,4.55,2,243,-24,114,0,"Jul, 2025",2,225,7.18
"behavior technician shirt",395,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1289173,17.68,5,86.06,4,4.52,1,51,-75,0,-20,"May, 2024",1,542,1.57
"loteria print shirt",113,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,722533,17.32,23,399.78,16,4.63,1,322,8,-54,-25,"Oct, 2024",0,2000,5.51
"orange irish shirt",211,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1121243,16.3,12,180.6,15,4.69,1,396,236,0,-24,"Mar, 2025",0,2000,4.66
"toddler colombian shirt",70,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1076314,17.27,11,184.03,7,3.66,1,27,-7,0,-16,"Jul, 2024",0,202,7.68
"meme review shirt",267,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1142337,17.95,40,729.98,13,4.61,1,165,-68,0,7,"Dec, 2024",0,422,4.29
"oregon duck shirt",219,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,522098,20.08,23,432.56,13,4.40,1,292,,67,-36,"Dec, 2024",4,1000,3.00
"goose band shirt",126,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",30,924456,17.03,62,1009.32,10,4.67,2,93,743,0,-16,"Jun, 2025",1,1000,20.33
"anti ice shirt",417,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,931611,18.01,28,477.48,6,4.66,1,65,641,0,-38,"Jun, 2025",2,899,12.19
