Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"purple up shirt for military kids shirt",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1430914,16.87,2,26.1,13,4.62,1,209,208,-150,-10,"Apr, 2025",3,661,0.42
"rebellions are built on hope shirt",166,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,984551,19.15,33,696.23,5,4.77,1,12,871,0,-10,"Jun, 2025",0,117,7.69
"sister of the birthday boy shirt",67,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,984223,17.6,44,705.09,15,4.72,1,59,-31,-83,-6,"May, 2025",1,50000,3.54
"trump mugsho 2024 president t shirt",79,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1459359,16.56,25,387.86,16,4.84,1,207,,0,-12,"Jul, 2024",0,401,2.11
"i love my hot girlfriend shirt",17,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,456648,16.78,50,893.82,9,4.69,1,384,631,132,-11,"Aug, 2024",3,30000,13.15
"mid year report still naughty shirt",233,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1128878,17.62,64,1096.21,20,4.68,1,44,-11,0,0,"Jul, 2025",0,2000,21.27
"funny trump 4th of july shirt",267,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1022194,17.44,211,4046.48,19,4.68,1,150,-29,0,0,"Jul, 2025",3,1000,67.87
"jesus dropped the charges t shirt",159,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,1020811,16.01,17,233.88,13,4.51,2,74,-18,0,-4,"Feb, 2025",0,292,3.17
"first day of 7th grade shirt",57,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,725982,17.25,8,116.77,11,4.70,1,21,-54,0,0,"Aug, 2024",0,814,6.29
"breast cancer awareness shirt kids girls",228,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1141340,16.89,10,145.33,14,4.12,1,216,-50,0,-13,"Oct, 2024",1,60000,4.17
"kids breast cancer awareness shirt girls",282,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1112803,15.31,10,153.23,14,4.46,1,130,28,0,-13,"Oct, 2024",1,60000,4.37
"le ho fooks chinese restaurant shirt",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1072167,16.44,33,555.46,18,4.68,1,150,-9,0,-11,"Jun, 2025",0,123,3.68
"dad of the birthday boy shirt",84,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,729267,17.32,42,771.82,11,4.72,1,239,18,12,-6,"Jan, 2025",1,60000,5.54
"day of the dead pitbull shirt",179,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1155184,16.49,16,273.49,11,4.70,1,181,,0,20,"Dec, 2024",0,148,1.89
"orange shirt day every child matters",93,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1017521,15.65,2,33.43,11,4.57,1,143,,-100,-20,"Sep, 2024",2,969,0.17
"can i pet that dog shirt",462,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,894046,17.27,21,374.2,9,4.69,1,49,37,78,-21,"Dec, 2024",2,439,9.83
"queens of the stone age shirt",233,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1063011,23.65,34,849.1,9,4.16,3,274,128,39,-52,"Dec, 2024",3,102,3.96
"don't pet the fluffy cows shirt",146,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,868930,18.31,42,772.65,10,4.56,1,114,1,0,9,"Jun, 2025",0,215,9.20
"last year of elementary school shirt",346,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1350506,16.65,2,27.91,9,4.98,1,28,58,0,0,"Aug, 2024",0,3000,1.45
