Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"level 9 unlocked shirt",225,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1158052,17.1,18,297.84,20,4.63,1,24,-44,0,-27,"Jun, 2025",2,10000,5.42
"rudolph and clarice shirt",207,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1321345,18.88,3,37.36,6,4.39,2,27,-34,0,-30,"Dec, 2024",0,165,0.82
"independence day movie shirt",153,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",18,1107536,19.59,494,9456.65,13,4.68,1,234,23,0,0,"Jun, 2025",0,1000,120.39
"sequoia national park shirt",437,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1297216,17.68,6,106.2,5,4.88,1,25,-7,0,0,"Jul, 2025",0,499,2.14
"alvin the chipmunk shirt",49,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1209784,18.26,16,310.65,16,4.71,1,41,-92,0,-14,"Jun, 2025",3,483,7.83
"art teacher barbie shirt",214,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,450308,16.47,18,266.14,17,4.56,1,222,-7,0,-31,"Aug, 2024",0,208,1.64
"3rd grade shirt teacher",30,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,187252,16.43,140,2109.08,15,4.61,1,127,71,0,-21,"Aug, 2024",3,4000,53.22
"dental assistant gifts shirt",166,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1121307,16.72,9,156.39,10,4.60,1,128,229,-46,25,"Mar, 2025",0,1000,2.14
"ronald acuna jr shirt",281,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",27,656512,26.74,51,1280.06,19,4.56,2,362,-42,0,11,"Dec, 2024",0,143,4.61
"trauma social work shirt",176,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1366467,16.1,11,162.68,12,4.44,1,109,-25,-30,-4,"Mar, 2025",0,250,2.55
