Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"relax gringo im legal shirt",434,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,955364,16.66,35,659.37,20,4.68,1,136,241,0,0,"Jul, 2025",1,226,7.75
"fall out boy t shirt",348,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,818387,25.56,21,521.44,15,4.72,2,61,-57,0,94,"Dec, 2024",2,1000,8.28
"the goo goo dolls shirt",309,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,533532,23.7,54,1252.67,8,4.66,1,131,,0,-35,"Jul, 2025",2,293,9.76
"great big sea t shirt",245,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1297513,19.12,21,441.3,6,4.45,2,24,,0,-14,"Jul, 2025",0,70000,7.14
"little miss 1st grade shirt",387,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,955679,16.5,21,350.19,8,4.78,1,66,32,0,-34,"Jul, 2025",0,7000,3.12
"save the pets trump shirt",175,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",30,1219176,16.18,11,162.06,6,4.45,1,30,147,0,8,"Nov, 2024",0,336,2.05
"zeta phi beta vote shirt",125,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1279086,21.96,7,136.61,12,4.64,1,131,,-94,-6,"Apr, 2024",0,188,0.69
"yankees al east champs shirt",31,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,266727,24.35,90,2219.33,15,4.60,2,339,186,0,-18,"Jun, 2025",0,81,6.99
"janet jackson concert t shirt",163,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1283710,20.08,19,384.6,14,4.56,1,60,-46,6,-17,"Jul, 2024",0,275,2.93
"immigrants feed america t shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1222959,16.43,3,34.77,2,4.00,1,4,,-20,-2,"May, 2025",0,223,1.69
"cinco de mayo shirt toddler",160,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1326174,16.77,24,503.15,8,4.81,1,71,-56,0,47,"May, 2025",3,7000,4.35
"freedom for all t shirt",187,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1352940,17.59,43,708.16,12,4.80,1,122,188,0,0,"Jun, 2025",0,20000,13.24
"hot girls rescue dogs shirt",188,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1459838,16.6,18,274,5,4.90,1,67,112,0,-37,"Jul, 2025",0,138,7.11
"kendrick lamar shirt kids youth",249,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1321807,17.24,51,823.45,18,4.28,1,440,317,0,-21,"May, 2025",0,169,4.95
"we still do t shirt",292,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1035193,19.46,14,245.05,11,4.44,1,80,41,0,-20,"May, 2025",1,40000,1.88
"toyota land cruiser t shirt",112,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1335162,21.87,17,358.2,14,4.12,2,92,-8,0,-5,"Jul, 2025",0,165,2.27
"goo goo dolls t shirt",2313,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,619979,23.63,62,1448.6,9,4.72,1,160,57,0,0,"Jul, 2025",1,102,15.93
"back to the kitchen shirt",93,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,941150,19.59,7,125.78,5,4.33,1,16,,0,0,"Jun, 2025",1,554,2.25
"monster high birthday t shirt",189,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,751573,22.61,45,1000.37,16,4.66,1,125,-24,237,-17,"Nov, 2024",0,1000,3.43
"i ask axolotl questions shirt",31,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,779633,15.74,55,790.69,13,4.75,1,190,-12,0,-37,"Jul, 2025",1,296,6.62
"halloween horror nights shirt 2024",46,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1394486,26.99,7,164.19,17,4.90,1,113,,0,-6,"Oct, 2024",0,645,0.69
"gold for childhood cancer shirt",242,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,991067,15.33,8,105.05,5,4.55,1,161,209,0,0,"Sep, 2024",3,20000,0.66
"biden 4th of july shirt",135,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1153149,17.9,60,1098.54,5,4.58,1,49,-74,0,0,"Jun, 2024",4,950,51.87
"i love my principal shirt",75,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1019287,16.23,42,551.94,12,4.56,1,185,-25,0,-10,"May, 2025",0,142,4.04
"trump forth of july shirt",231,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,822030,17.29,133,2348.19,17,4.53,1,208,15,0,-12,"Jun, 2025",0,353,25.66
"glacier national park t shirt",735,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,841467,18.88,22,406.86,13,4.77,1,62,-19,0,-6,"Jul, 2025",1,651,6.26
"i am a dancer shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1312417,17.52,22,369.29,9,4.74,1,94,-39,0,0,"Jun, 2025",0,195,4.76
"box box box f1 shirt",144,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,548759,19.49,131,2589.74,17,4.83,1,524,551,0,-20,"Jun, 2025",0,113,22.43
"jesus the ultimate deadlifter shirt",2315,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,761016,16.94,121,2341.06,19,4.84,1,150,-58,0,0,-,2,159,8.05
"what up doe t shirt",316,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1437519,17.21,8,137.76,8,4.76,1,41,-75,0,-26,"Jun, 2025",0,714,2.17
"cmiygl shirt tyler the creator",173,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,473342,36.63,91,3775.21,19,4.35,1,69,190,0,3,"Dec, 2024",0,54,7.97
"fourth of july shirt trump",198,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,819572,17.09,129,2251.4,19,4.77,1,258,15,0,21,"Jun, 2025",3,950,11.54
