Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"funko shirt",174,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1104458,16.9,11,177.01,9,4.81,3,32,-16,0,-35,"May, 2025",4,1000,3.05
"goon shirt",348,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1408288,18.39,6,94.33,9,4.84,1,34,-20,0,0,"Jul, 2025",2,265,1.11
"lolli shirt",298,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1167416,20.79,7,138.78,5,4.60,1,38,-57,-37,-40,"May, 2025",2,590,3.31
"twister shirt",30,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1242146,23.89,14,303.59,11,4.40,1,26,-15,0,0,"Aug, 2024",4,323,1.28
"catchers shirt",114,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,552490,17.59,155,2397.86,11,4.65,1,298,-15,-6,-17,"Dec, 2024",4,40000,47.00
"skelanimals shirt",381,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1437977,23.74,4,71.49,2,4.80,1,23,,-29,15,"Dec, 2024",1,102,3.04
"loteria shirt",1152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,711859,17.9,24,403.98,16,4.64,1,239,3,3,-9,"Oct, 2024",4,3000,5.24
"andor shirt",457,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,715624,22.8,57,1299.75,9,4.69,1,90,201,34,-10,"Jun, 2025",2,345,4.69
"charmander shirt",336,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,840617,19.02,41,913.51,12,4.70,1,29,-55,0,-37,"Jul, 2025",2,307,7.99
"indycar shirt",297,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,753653,21.62,67,1389.1,14,4.57,1,58,-18,-123,-21,"May, 2025",2,496,3.69
"guyana shirt",865,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,953868,17.38,13,231.03,6,4.97,1,66,-21,0,-17,"Jul, 2025",3,645,8.01
"ultrasound shirt",153,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1129843,16.13,8,132.02,4,4.40,2,42,-52,0,-13,"May, 2025",2,382,3.56
"frida shirt",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1209607,21.7,14,280.64,19,4.50,1,155,-32,6,-34,"Sep, 2024",4,395,2.35
"alligator shirt",435,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,691280,17.11,41,692.11,12,4.58,1,302,-9,0,0,"Jul, 2025",4,2000,11.77
"sprewell shirt",177,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1124757,15.99,0,-,0,-1.00,1,3,,-129,-27,"May, 2025",0,20,-1.00
"vbucks shirt",155,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1185726,16.32,22,396.12,17,4.51,2,478,925,200,-6,"Dec, 2024",0,267,2.53
"boomer shirt",322,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,994755,17.93,8,145.79,4,4.40,1,28,15,0,0,"May, 2025",3,10000,5.15
"cosmetology shirt",70,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1148892,16.77,17,262.25,12,4.28,1,162,74,0,0,"Apr, 2025",2,387,1.37
"rottweiler shirt",407,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,848098,18.25,13,242.1,17,4.83,1,171,14,0,-22,"Dec, 2024",3,1000,3.08
"democracy shirt",157,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,930417,17.49,50,856.57,14,4.85,1,219,69,0,0,"Jun, 2025",4,3000,10.55
"chevelle shirt",190,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,889073,20.81,18,364.58,10,4.53,2,107,-30,155,14,"Jun, 2025",3,1000,3.39
"fart shirt",405,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,757044,15.54,88,1406.35,9,4.60,1,308,77,0,-22,"Dec, 2024",4,2000,15.12
"lisa shirt",210,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1346921,20.4,40,970.53,8,4.33,1,16,,0,-43,"Mar, 2025",4,10000,4.92
"dots shirt",80,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,911043,15.5,5,90.23,20,4.49,1,582,20,0,-6,"Sep, 2024",6,10000,0.60
"election shirt",37,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1394989,16.13,6,100.61,15,4.73,1,156,955,0,-9,"Nov, 2024",4,50000,0.58
"phlebotomy shirt",77,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1280176,16.99,9,152.19,9,4.18,1,54,-40,-93,-3,"Apr, 2025",3,852,2.03
"sonographer shirt",143,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1477992,15.29,4,66.14,3,3.86,1,6,-74,0,-20,"Jun, 2025",0,409,3.14
"insigne shirt",186,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,522973,15.66,73,1067.67,18,4.37,1,418,,216,-17,"Jul, 2025",0,72,14.66
"vbs shirt",270,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1374903,15.74,30,499.85,7,4.75,1,23,44,0,0,"Jul, 2025",4,1000,10.93
"feminism shirt",201,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,705511,18.57,48,879.97,17,4.42,1,252,466,-65,-17,"Nov, 2024",3,2000,10.40
"ghostemane shirt",304,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,819386,19.22,23,440.63,14,4.18,1,198,35,133,-28,"Dec, 2024",2,124,2.20
"cojo shirt",257,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1361763,19.42,7,132.38,5,4.94,1,109,-29,0,-26,"Nov, 2024",1,371,1.44
"griddy shirt",102,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,845665,20.55,45,780.2,7,4.71,2,87,-8,65,-20,"Dec, 2024",3,212,7.18
"trumpamania shirt",424,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,909154,17.54,16,260.44,10,4.84,1,95,10,0,-12,"Jul, 2024",2,1000,6.35
"immigration shirt",180,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1092938,17.48,39,701.36,11,4.65,1,64,197,0,-27,"Jun, 2025",5,1000,9.17
"lindor shirt",120,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,715564,26.47,35,951.97,5,4.32,1,32,160,0,0,-,2,216,4.77
"bulbasaur shirt",370,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1322806,20.21,19,428.12,9,4.60,2,77,55,0,-36,"Jul, 2025",0,377,2.51
"squirtle shirt",381,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,943967,21.72,29,638.08,12,4.24,1,129,15,233,-40,"Jul, 2025",1,251,6.64
"juggalo shirt",319,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1299213,19.15,10,185,12,4.54,1,192,,0,-25,"Oct, 2024",2,324,1.69
"hairstylist shirt",40,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1054092,15.63,18,264.53,14,4.24,1,74,-58,-74,-10,"Apr, 2025",2,1000,1.59
"maestra shirt",164,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,892408,15.8,11,164.57,15,4.40,1,102,-51,0,0,-,2,10000,2.23
"hallowthanksmas shirt",36,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1350349,16.49,3,47.6,11,4.78,1,2,-69,0,-11,"Oct, 2024",2,239,0.76
"hallothanksmas shirt",66,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1350349,16.49,3,47.6,11,4.78,1,2,-69,0,-11,"Oct, 2024",2,129,0.76
"evanescence shirt",1312,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1317791,24.44,20,478.51,17,4.58,2,202,,60,-14,"Dec, 2023",2,304,1.09
"unholy shirt",307,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1256579,18.97,13,224.16,19,4.05,1,91,-27,0,-21,"Jul, 2025",0,437,3.23
"behavior shirt",336,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,618933,16.82,19,328.67,8,4.61,1,119,-33,0,-42,"Aug, 2024",3,2000,8.16
"er shirt",185,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,439113,19.66,44,833.67,18,4.35,1,300,-20,0,-18,"Jul, 2025",5,2000,3.87
"lpn shirt",444,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1176380,17.29,36,545.46,13,4.55,1,173,47,0,8,"May, 2025",1,1000,3.01
"galactus shirt",803,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,550030,22.99,53,1209.97,16,4.78,1,25,93,0,0,"Jul, 2025",2,229,48.57
"parliament shirt",186,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1290894,25.66,29,731.29,9,4.87,1,173,,78,-6,"Jul, 2025",2,1000,2.37
"sxs shirt",294,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,964372,16.91,27,479.1,9,4.76,1,119,-16,-19,-35,"Jun, 2025",2,603,9.36
"friendsgiving shirt",79,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,1390870,15.69,2,20.55,16,4.68,1,159,-13,0,-21,"Nov, 2024",4,20000,0.07
"slpa shirt",344,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,879615,16.65,10,154.81,10,4.66,1,83,-13,192,-28,"May, 2025",1,386,1.45
"faguette shirt",150,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1239636,17.33,20,327.86,3,4.90,1,28,-18,0,6,"Jun, 2025",0,140,19.89
"lunchlady t-shirt",278,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,711821,15.15,16,237.57,6,4.80,1,27,-9,0,-35,"Jul, 2025",0,383,13.35
"graduation t-shirt",223,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1065682,17.88,11,182.68,20,4.76,1,108,-20,-131,-40,"May, 2025",4,50000,1.18
