Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"cousin of the birthday girl shirt",153,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1384478,15.6,6,87.13,5,4.76,1,38,-39,0,0,"Jun, 2025",0,9000,2.71
"heat miser and snow miser shirt",173,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1496488,21.19,4,80.31,16,4.56,2,231,-42,0,-23,"Dec, 2024",1,118,0.20
"im not the girl tee shirt",138,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1233337,17.71,37,790.68,19,4.49,1,70,-48,0,-1,"Nov, 2024",0,6000,4.71
"hard rock cafe las vegas shirt",165,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1390429,26.9,12,211.88,9,4.28,1,117,,0,-24,"Dec, 2024",0,104,1.57
"4th of july pregnancy announcement shirt",114,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,933027,17.87,136,2377.31,7,4.74,1,70,77,0,-10,"Jun, 2025",0,769,43.31
"bad boys for life t shirt",264,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,834013,20.48,26,593.04,10,4.63,1,125,-21,0,-33,"Jul, 2025",0,366,3.75
"100 days of 1st grade shirt",188,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,585307,18.56,55,912.49,11,4.56,1,45,1,0,4,"Jul, 2025",1,10000,31.30
"raising kids and trusting god shirt",225,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1067270,15.36,97,1090.85,12,4.57,1,61,260,0,-26,"Apr, 2025",0,122,7.76
"ozzy osbourne long sleeve t shirt",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,831529,34.46,6,194.05,5,4.84,1,5,-54,0,0,-,1,443,1.23
"daddy of the birthday girl shirt",375,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,939224,17.44,20,350.05,13,4.58,1,155,225,-70,-15,"Mar, 2025",2,10000,2.27
