Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"euchre shirt",120,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,911417,19.86,13,261.29,6,4.73,1,126,-3,139,-21,"Dec, 2024",2,734,2.43
"ptsd shirt",200,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1373451,15.55,11,170.64,4,4.50,1,15,,0,0,"Jul, 2025",3,1000,1.47
"starfish shirt",255,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,1418514,15.1,83,791.75,7,4.48,2,25,-17,0,-6,"Jul, 2025",2,813,6.15
"ape shirt",329,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",16,1022342,24.47,34,1327.44,14,4.40,1,30,-23,0,-3,"Jul, 2025",5,783,7.64
"kidney shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1294202,17.62,9,149.71,11,4.76,1,69,152,0,-35,"May, 2025",3,2000,4.02
"bobcat shirt",343,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,852181,16.45,13,188.53,10,4.42,1,66,-26,80,-6,"Sep, 2024",3,1000,4.15
"spyro shirt",45,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1300821,18.48,13,281.21,17,4.60,1,191,-10,-64,-15,"Dec, 2024",0,173,0.78
"blondie shirt",322,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,923805,20.96,40,875.19,15,4.50,2,66,-3,0,26,"May, 2025",3,652,4.84
"gollum shirt",72,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1234568,21.99,9,190.45,6,4.66,1,29,-49,-7,-7,"Dec, 2023",3,356,7.22
"btc shirt",13,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,671497,18.49,16,302.18,10,4.67,1,157,31,8,-12,"Dec, 2024",0,451,6.00
"chicano shirt",94,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,947842,18.6,14,257.71,13,4.55,1,121,49,110,-11,"Dec, 2024",2,4000,1.83
