Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"not my president t shirt",400,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1150429,16.89,27,491.85,9,4.54,1,30,,-44,-22,"Apr, 2025",2,615,6.71
"wednesday we wear pink shirt",212,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1297497,17.87,12,205.63,6,4.28,1,114,130,2,-6,"Oct, 2024",2,1000,2.41
"i come in peace shirt",165,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1284514,17.66,6,97.6,6,4.51,1,206,-30,0,-11,"Oct, 2024",2,185,1.41
"step on a lego shirt",272,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1212669,16.92,65,1011.72,14,4.48,2,201,-53,0,-19,"Jul, 2025",0,239,9.89
"the evil within t shirt",178,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1127364,17.98,9,159.43,8,4.64,1,56,36,0,-29,"Jun, 2025",1,149,2.72
"historical black college t shirt",80,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1416078,18.24,8,130.85,20,4.51,1,114,-35,0,0,"Feb, 2025",0,264,0.58
"winnie the pooh ghost shirt",35,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,710883,23.42,48,1090.96,19,4.50,1,265,,0,-11,"Jun, 2025",0,194,2.72
"racist lives don't matter shirt",39,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1227889,19.66,6,117.66,3,5.00,1,0,,-6,-6,"Jan, 2025",0,195,3.76
"vintage indy 500 t shirt",96,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,996064,24.66,6,134.92,5,4.97,1,42,,0,-10,"May, 2024",0,383,3.94
"yellowstone national park t shirt",160,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,506736,17.24,35,617.91,13,4.68,1,139,-19,0,4,"Jun, 2024",1,1000,7.21
"denali national park t shirt",196,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1183262,19.04,16,299.17,14,4.56,1,156,1887,0,-27,"Feb, 2025",0,6000,3.00
"jean claude van damme shirt",198,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,880827,23.57,13,305.92,8,4.83,2,104,9,1925,-17,"Dec, 2024",0,243,1.49
"i need a cocktail shirt",180,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,807644,17.73,17,313,20,4.65,1,589,334,-65,-6,"Nov, 2024",1,175,6.41
"purple and gold football shirt",37,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,1045042,15.94,5,71.65,18,4.75,2,220,-27,0,-12,"Sep, 2024",0,10000,0.91
"ugly christmas in july shirt",32,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,515782,16.83,24,418.13,3,4.95,1,19,65,0,-12,"Jul, 2024",0,369,7.63
"show your work teacher shirt",117,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1122172,16.94,22,380.43,8,4.72,1,37,-33,-100,14,"May, 2024",0,10000,2.92
"tow mater shirt adult brown",179,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1074707,22.99,27,617.45,11,4.71,1,295,58,348,6,"Oct, 2024",0,128,2.91
"you're killing me vols shirt",125,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,456367,20.66,43,877.09,10,4.80,1,149,517,126,-12,"May, 2025",1,65,8.48
"princess security shirt toddler boys",80,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,923336,16.12,37,614.36,11,4.55,1,170,-6,0,9,"Jun, 2025",0,441,12.88
"white wisconsin badger t shirt",60,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,796291,19.61,20,396.59,10,4.82,1,54,4,0,-1,-,0,1000,2.68
"i have decided baptism shirt",234,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,671730,17.37,29,457.36,10,4.69,1,106,-9,179,-21,"Jul, 2025",0,172,11.11
"pi day shirt for teachers",126,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",18,1074458,17.82,42,708.04,16,4.55,1,348,338,9,-7,"Mar, 2025",2,834,4.24
"call your mother rosary shirt",78,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1378743,18.14,132,2011.33,19,4.75,1,18,80,0,0,"May, 2025",0,170,5.87
"the crab five t shirt",163,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,492761,18.6,64,844.37,9,4.59,1,76,50,-139,-6,"Jun, 2025",1,919,9.95
"hubby just love her shirt",72,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,514818,15.97,58,695.89,19,4.42,1,49,-36,-10,-7,"Jun, 2025",0,198,14.27
"happy gilmore 2 t shirt",348,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,687312,20.98,96,2846.25,16,4.57,2,35,-20,0,0,"Jul, 2025",0,1000,12.30
"because im mike t shirt",161,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1430861,17.47,36,634.46,10,4.98,1,67,,0,-9,"Jun, 2025",0,107,8.62
"twinkle twinkle little snitch shirt",461,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1052157,16.36,5,69.15,4,5.00,1,6,-60,0,0,"Jul, 2025",0,336,2.56
"poop emoji birthday shirt 6",113,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1234247,16.59,27,463.34,9,4.93,1,88,-37,29,-12,"Jul, 2025",0,97,12.59
"jay and silent bob shirt",240,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1421695,20.92,11,224.05,11,4.85,1,105,16,-47,-16,"Jun, 2025",0,121,1.34
"rocky mountain national park shirt",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,963874,18.48,11,184.08,11,4.77,1,40,-31,0,5,"Jul, 2025",0,726,4.54
"big time rush t shirt",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,348190,20.34,66,1408.37,4,5.00,1,18,-53,0,0,"Jul, 2025",1,190,27.01
"pittsburgh pirates youth t shirt",111,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",23,513081,20.69,57,1368.35,13,4.57,2,284,-48,0,-6,"Jun, 2025",0,868,5.94
"ralph lauren polo bear shirt",50,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,565765,29.6,104,2011.26,15,4.00,2,70,-47,14,-6,"Jun, 2025",2,168,7.32
