Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"lone survivor shirt texas",82,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,729280,16.48,30,447.06,15,4.60,1,130,8,0,0,"Jul, 2025",0,107,4.23
"trash panda t shirt",442,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1231974,19.09,14,295.55,7,4.84,1,30,-22,0,-6,"May, 2025",2,849,9.72
"agent orange t shirt",141,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1484689,19.99,6,126.28,3,4.90,1,0,,0,-6,"Jun, 2025",0,708,4.97
"niagara falls t shirt",459,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,977013,15.72,13,204.5,13,4.51,1,34,-26,0,-24,"Jul, 2025",1,260,2.12
"bubbles powerpuff girls shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1403498,21.49,4,69.26,7,4.65,1,82,,-45,-34,"Oct, 2024",1,194,2.50
"denali national park shirt",349,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1236891,18.15,10,162.39,12,4.56,1,141,1887,0,-8,"Feb, 2025",1,542,1.54
"australian shepherd t shirt",165,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1220982,18.44,11,195.84,12,4.87,1,76,-51,-15,-30,"Dec, 2024",1,50000,1.89
"class of 2029 shirt",405,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1403537,16.48,4,66.67,5,4.80,1,20,42,0,5,"May, 2025",0,307,1.33
"blink 182 shirt kids",124,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,941309,22.81,45,1116.39,10,4.49,2,68,4,29,0,"May, 2025",2,181,7.06
"fc bayern t shirt",59,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1314021,26.34,34,1267.11,7,4.18,2,16,-39,0,0,"Jun, 2025",0,274,4.86
"blink 182 kids shirt",221,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,885756,21.96,42,979.82,15,4.58,2,128,-12,0,-2,"Jul, 2025",2,191,6.67
