Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"suicide prevention shirt",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,531915,16.19,34,543.47,20,4.60,1,285,1056,0,-46,"Sep, 2024",3,887,3.73
"boston whaler shirt",122,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,802313,32.48,43,1189.29,5,4.40,1,175,,0,-16,"Jul, 2024",1,285,12.83
"parliament funkadelic shirt",42,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1339845,25,29,724.7,8,4.71,1,157,,78,-6,"Jun, 2025",2,181,3.66
"carnival staff shirt",248,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,616148,16.09,14,204.13,6,4.73,1,34,-43,0,-10,"Jun, 2025",2,536,10.62
"pediatric nurse shirt",865,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,981439,16.16,21,341.16,5,4.61,1,97,,0,-24,"Jul, 2025",3,3000,8.63
"lactose intolerance shirt",293,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1308356,18.52,14,248.74,16,4.66,1,258,-64,0,-14,"Dec, 2024",2,280,2.20
"brat t shirt",156,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,878393,19.66,28,580.7,7,3.62,1,3,-74,-20,-15,"Oct, 2024",3,425,12.01
"bengals toddler shirt",110,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,626518,15.99,31,430.82,6,3.27,2,50,,0,-14,"Sep, 2024",2,204,23.65
"trump devil shirt",177,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,693486,17.28,236,4254.57,7,4.84,1,64,,0,-28,"Jun, 2025",0,356,55.96
"football birthday shirt",64,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1140871,17.22,25,345.03,13,4.70,1,406,-46,-58,-6,"May, 2025",1,10000,3.87
"pogue life shirt",218,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1355121,18.62,22,415.91,6,4.85,1,4,383,0,0,"Dec, 2024",2,383,0.64
"ultrasound tech shirt",91,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1468975,15.87,5,68.17,5,4.70,1,12,8,0,-30,"Jul, 2025",0,291,3.99
"ivan cornejo shirt",440,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",40,1405947,16.96,54,802.91,3,5.00,1,20,,0,-27,"May, 2025",1,195,132.00
"original beef shirt",66,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,673778,15.86,5,83.43,2,4.75,1,18,-24,0,-9,"Oct, 2023",2,220,3.74
"2037 graduation shirt",141,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1356976,18.18,10,181.94,9,4.77,1,377,-61,0,0,"Aug, 2024",0,247,1.37
"satoru gojo shirt",261,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",37,450885,20.04,76,1474.83,10,4.56,2,196,378,0,-16,"Dec, 2024",1,168,15.04
"first rodeo shirt",125,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,653361,16.73,81,1287.73,15,4.75,2,182,-5,35,-15,"Jun, 2025",3,1000,16.28
"apple shirt teacher",232,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,279353,16.39,156,2302.34,15,4.81,1,175,150,0,-10,"Jul, 2025",2,20000,16.08
"human torch shirt",547,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,824670,22.99,84,1927.09,5,4.45,1,5,-21,0,-70,"Jul, 2025",0,272,18.44
"kindergarten vibes shirt",312,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,619048,15.46,65,855.36,14,4.85,2,301,-60,0,2,"Aug, 2024",1,10000,7.40
"tim robinson shirt",186,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,992294,19.41,14,257.68,6,4.76,1,92,,-58,-26,"Dec, 2024",0,178,5.17
"jennie ruby shirt",278,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1381499,29.91,40,1013.6,6,4.20,2,4,,0,-37,"Mar, 2025",0,33,6.61
"aaliyah boston shirt",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1444589,27.12,210,4685.12,19,4.07,1,255,,0,-67,"Jul, 2025",0,158,9.79
"skubal t shirt",117,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1062369,24.77,76,1763.69,5,4.34,1,0,,0,-18,"Jul, 2025",0,1000,33.62
"awesome cock shirt",123,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,972883,16.59,43,704.64,6,4.58,1,20,11,0,-54,"Jun, 2025",1,428,20.34
"axolotl birthday shirt",375,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1231277,15.62,15,241.23,4,4.78,1,35,,0,-6,"Jun, 2025",0,1000,10.21
"family reunion shirt",208,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,545998,15.23,77,1148.35,14,4.38,1,70,7,0,-18,"Jul, 2025",3,20000,13.64
"hemorrhoid conqueror shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1430980,18.99,9,162.72,14,4.65,1,42,,0,-1,"Aug, 2024",1,728,1.57
"squishmallow shirt adult",169,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1109534,18.27,15,255.72,8,4.79,1,85,-71,0,-7,"Mar, 2025",0,117,3.32
"kidz bop shirt",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,691487,20.39,68,1347.64,11,4.60,1,205,-2,0,-12,"Jul, 2025",2,131,11.44
"aja wilson shirt",459,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1224395,28.06,56,1266.59,19,4.33,1,226,-14,0,-22,"Jul, 2025",0,124,5.68
"geometry dash shirt",417,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1093565,17.24,16,260.05,4,4.63,1,84,,0,-38,"Jul, 2025",1,112,6.50
"bird nerd shirt",251,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,1353139,16.91,36,562.33,7,4.55,1,14,90,0,0,"Jun, 2025",2,1000,8.10
"monster high shirt",803,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,780589,22.37,20,437.77,19,4.90,1,295,-41,80,-40,"Dec, 2024",3,1000,3.31
"4th grade shirt",7701,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,134213,16.53,94,1614.58,9,4.78,1,155,62,0,-31,"Jul, 2025",5,5000,25.76
"foreigner t shirt",1298,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,640522,22.99,37,831.49,19,4.59,2,114,-42,0,-26,"Jul, 2025",2,271,9.13
"creed t shirt",434,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,471473,20.04,83,1696.56,11,4.31,1,366,46,0,-18,"Jul, 2025",3,266,12.19
"emergency department shirt",1273,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,690608,18.99,32,568.67,11,4.26,1,176,-22,64,-34,"Jul, 2025",3,1000,5.39
"three kings shirt",147,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1357056,19.33,61,1089.07,8,4.91,1,80,-79,0,-5,"Dec, 2024",0,1000,24.50
"boys uga shirt",20,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,409442,18.15,50,888.24,19,4.57,1,68,125,-68,8,"Dec, 2024",2,842,6.31
"dragon sound shirt",273,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,755888,18.87,109,2285.85,18,4.74,1,231,,0,-25,"Jun, 2025",0,387,16.50
"dirty martini shirt",412,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",24,903657,16.4,103,1699.97,14,4.23,1,288,-29,0,-13,"Jul, 2025",2,373,9.52
"steve smith shirt",76,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1258618,19.96,28,616.65,15,4.70,2,295,225,-42,-16,"May, 2025",0,372,7.36
"hardy sucks shirt",120,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,623252,26.66,18,469.6,9,4.83,1,190,,8,-14,"May, 2025",0,51,4.59
"softball shirt girls",211,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,390300,16.53,78,1363.67,15,4.45,1,317,410,0,-17,"Jul, 2025",4,8000,10.18
