Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"chest nuts christmas t shirt matching couple chestnuts t-shirt",58,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1089659,16.65,3,43.47,19,4.51,1,92,,0,0,"Nov, 2023",3,5000,0.17
"i cant but i know a guy shirt",36,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,718976,17.9,38,714.41,12,4.46,2,215,,-7,0,"Jun, 2025",2,230,5.22
"i forget what 8 was for t shirt",1737,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,813760,17.62,12,204.38,5,4.55,1,60,,0,0,-,1,442,5.41
"first day of school shirt boys 4th grade",37,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,457466,15.18,13,179.58,13,4.93,1,82,-13,0,0,"Jul, 2025",0,30000,7.76
"if at first you don't succeed t shirt",153,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1234699,17.43,19,349.57,12,4.63,1,80,-50,0,-10,"Jun, 2025",1,1000,2.64
"costco i got that dog in me shirt",69,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,833740,16.88,99,1713.7,14,4.33,1,633,,-76,0,"Dec, 2024",2,107,12.97
"buck around and find out shirt ohio state",58,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,795903,21.83,90,2075.01,18,4.62,1,43,,0,-30,"Jan, 2025",0,363,5.33
"joe dirt 4th of july shirt tank top",101,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1244415,18.18,283,5652.12,10,4.83,1,337,40,0,0,"Jun, 2025",0,350,48.39
"i'm in my prime t shirt doc holliday",231,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1460237,19.15,41,764.97,12,4.43,1,29,-29,0,-15,"Apr, 2025",0,97,5.98
"i got that dawg in me t shirt",213,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1354087,17.2,27,481.11,20,4.71,1,562,-15,0,0,"May, 2024",0,119,2.53
"first day of 5th grade shirt for boys",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,437664,16.56,24,367.52,5,4.86,1,69,-51,0,0,"Aug, 2024",1,2000,9.15
"lord willin and the creek don't rise shirt",78,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",30,1409241,15.64,12,171.54,2,4.94,1,2,7,0,-8,"Mar, 2025",0,213,12.61
"i wear green for mental health awareness shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1398395,16.78,17,246.39,10,4.33,1,256,100,-137,-15,"May, 2025",0,503,1.55
"i want you to glaze my hole shirt",30,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1484085,16.66,20,304.71,14,4.75,1,33,,-68,-18,"Feb, 2025",1,442,1.11
"dont let the hard days win t shirt",1108,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,864997,18.84,50,1514.55,8,4.74,1,90,,0,-9,"Jul, 2025",0,184,4.99
"everyone you meet is fighting a battle shirt",43,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1441544,18.97,16,332.03,5,4.48,1,20,,221,-11,"Jun, 2025",2,872,2.98
"i love my hot cougar girlfriend t shirt",321,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1125555,18.02,52,1017.76,4,4.75,1,113,,0,-25,"Jul, 2025",1,308,12.67
"i forgot what eight was for t shirt",234,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,935251,17.52,10,166.05,4,4.66,1,53,,0,0,"Nov, 2023",0,264,3.28
"wrinkles only go where smiles have been shirt",188,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,843353,19.82,38,717.01,13,4.10,1,121,,0,0,"Jul, 2025",0,601,7.04
"he left the 99 to find me shirt",147,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,765562,16.77,59,966.67,14,4.44,1,8,5,0,-18,"Jul, 2025",2,154,7.62
"i baked you some shut the fucupcakes shirt",112,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1423981,16.38,13,214.63,16,4.30,1,100,-50,0,0,"Jun, 2025",1,103,1.36
"i like being called a good boy shirt",348,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,563878,17.98,20,345.62,2,5.00,1,0,,0,2566,"Jul, 2025",0,323,11.95
"its a bad day to be a beer shirt",160,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1406438,19.49,13,251.98,7,4.62,2,114,-70,0,1,"Jun, 2024",0,246,8.95
