Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"bad bunny t shirt for boys",152,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,387320,18.92,32,567.27,11,4.39,1,105,452,514,-4,"Jun, 2025",0,311,11.68
"in my 5th grade era shirt",429,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,699525,17.26,14,220.19,4,4.88,1,97,,0,-36,"Aug, 2024",1,414,6.48
"game over back to school shirt",334,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,878107,15.82,13,195.98,16,4.74,1,29,-32,0,-30,"Jul, 2025",0,252,3.14
"sweet sassy and six birthday shirt",105,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1451828,16.84,6,92.64,2,4.75,1,0,,0,68,"Apr, 2025",0,1000,0.99
"back it up terry t shirt",117,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,887952,17.31,176,2960.02,20,4.69,1,231,54,0,12,"Jun, 2025",2,342,41.52
"last first day of school shirt",430,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,545157,16.98,10,146.14,2,4.75,1,12,31,0,0,"Jul, 2025",2,4000,12.04
"american favorite ladies shirt jake webber",166,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",24,936691,15.99,5,82.22,6,5.00,1,0,,-14,-17,"Dec, 2024",0,24,0.83
"in my fifth grade era shirt",97,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1360496,16.67,4,61.79,5,4.92,1,66,,0,9,"Aug, 2024",0,338,1.11
"i love my bf t shirt",67,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,654217,15.57,71,965.15,15,4.45,1,206,126,0,0,"Feb, 2025",0,544,22.09
"every child matters orange shirt day",239,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1076893,15.97,2,24.94,3,3.95,1,15,,0,-45,"Sep, 2024",2,848,0.24
"and why should i care shirt",222,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1479197,17.07,26,453.2,14,4.66,1,138,,0,-21,"Dec, 2024",1,1000,2.01
"sabrina carpenter shirt short and sweet",163,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,639052,16.46,25,381.19,8,4.71,2,34,423,0,-18,"Dec, 2024",1,46,4.59
"in my school counselor era shirt",24,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",16,945796,16.15,65,804.55,12,4.78,1,84,,-109,38,"May, 2025",0,249,3.23
"the legend has retired t shirt",73,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1284491,16.61,18,290.1,7,4.91,1,0,,0,-6,"Jun, 2025",1,643,4.34
"good girls read bad books shirt",341,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1078031,18.48,65,993.48,13,4.40,2,110,,0,-16,"Jul, 2025",0,234,5.49
"3rd grade back to school shirt",322,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,303351,17.33,100,1757.35,10,4.70,1,187,10,0,0,"Jul, 2025",0,3000,31.11
"happy 4th of july t shirt",159,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",23,1176374,16.53,329,5713.22,20,4.60,1,246,45,0,0,"Jun, 2025",1,5000,52.67
"big foot and alien t shirt",218,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,970698,16.91,33,542.58,17,4.73,1,41,-25,0,-22,"Dec, 2024",0,455,2.84
"make america great again t shirt",172,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1067553,18.82,100,1435.01,13,4.77,1,66,-34,0,6,"Jun, 2025",2,903,25.32
"first day of 2nd grade shirt",440,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,277318,16.84,88,1388.8,8,4.03,1,127,-14,0,-33,"Jul, 2025",2,3000,18.31
"i think you should leave shirt",217,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1009332,18.97,24,347.17,10,4.67,1,352,-55,-30,0,"Dec, 2024",1,155,5.03
"anti america 4th of july shirt",273,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,957840,18.09,147,2766.22,7,4.69,1,97,355,0,0,"Jun, 2025",0,600,26.56
"more spaghetti less upsetti shirt kids",178,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1283955,16.94,12,187.08,6,4.50,1,11,-37,0,-17,"Apr, 2025",0,109,10.76
"party in the usa shirt girls",158,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1436581,16.17,69,812.26,10,4.57,1,193,-8,0,0,"Jul, 2025",2,4000,11.11
"donald trump shirt 4th of july",234,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,813461,17.66,135,2629.47,9,4.65,1,127,42,0,-12,"Jun, 2025",2,3000,24.03
"in my summer era t shirt",119,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,1265469,15.63,90,1143.56,14,4.61,1,181,,0,-15,"Jun, 2025",0,851,6.69
"in my girl dad era shirt",321,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1154209,19.8,27,552.79,20,4.41,1,466,,-71,-42,"Jun, 2024",1,860,1.57
"they not like us eagles shirt",84,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1128648,16.99,17,341.34,7,4.80,1,21,78,-74,-37,"Feb, 2025",0,222,4.51
"i survived the trump recession shirt",112,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,585523,17.11,51,855.21,16,4.84,1,175,705,86,-7,"Jun, 2025",0,332,6.64
"first day of school stitch shirt",348,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,249466,19.91,112,2229.84,20,4.80,1,416,39,0,0,"Jul, 2025",1,6000,16.15
"i love my girlfriend t shirt",10679,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,490863,16.01,76,1174.16,13,4.72,1,102,,0,-24,"Jul, 2025",4,2000,12.32
"silly goose on the loose shirt",612,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,676223,17.88,57,873.89,8,4.70,1,104,-17,191,0,"Dec, 2024",1,524,9.84
"jesus is the ultimate deadlifter shirt",442,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,989558,17.33,62,1164.2,13,4.91,2,132,-45,0,0,-,2,105,11.24
"my pride flag american flag shirt",119,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,631974,19.59,148,3258.31,20,4.36,2,279,585,0,-29,"Jun, 2025",2,1000,32.71
"party in the usa kids shirt",245,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1255871,15.21,336,3736.57,20,4.61,1,776,-8,0,-60,"Jul, 2025",2,6000,14.97
"twinning with my bestie shirt girls",44,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1351245,17.92,9,144.64,10,4.45,1,238,,0,-28,"Oct, 2024",0,298,2.39
"i identify as a problem shirt",1740,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,827985,16.61,20,358.6,4,4.40,1,17,-37,0,-47,"Jul, 2025",0,217,10.82
"cruise crew most likely to shirt",107,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",29,1012969,15.61,39,530.72,9,4.93,1,140,,0,-25,"Jul, 2025",1,399,4.11
"rudolph the red nose reindeer shirt",149,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1443260,18.74,3,39.54,6,4.30,1,50,-77,0,-30,"Dec, 2024",3,1000,1.43
