Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"the regal beagle t shirt",203,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,895411,19.7,13,247.77,6,4.78,1,16,-70,-38,-15,"Jun, 2025",2,566,3.92
"type 1 diabetes awareness shirt",31,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1130301,17.24,11,190.35,9,4.80,1,75,,94,-7,"Nov, 2024",0,983,1.83
"firefighters for trump t shirt",22,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,661183,18.55,359,6422.14,10,4.83,1,65,85,0,-6,"Jun, 2025",0,247,142.52
"are we great yet shirt",285,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1264725,16.71,15,253.49,8,4.96,1,0,,11000,-25,"Mar, 2025",2,1000,5.44
"all trash no trailer shirt",803,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1203142,16.31,130,2555.42,10,4.63,1,17,-55,0,-22,"May, 2025",1,129,4.07
"he has rizzen jesus shirt",167,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1150566,16.31,23,350.21,11,4.88,1,323,,-28,-29,"Apr, 2025",0,162,3.69
"university of tennessee t shirt",233,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,441230,19.41,53,1006.63,17,4.41,1,426,,-6,-3,"Sep, 2024",2,5000,5.00
"4th of july weiner shirt",303,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1289528,16.72,261,4193.94,15,4.63,1,526,-8,0,0,"Jun, 2025",2,800,19.86
"4th of july democrat shirt",288,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1358336,17.18,57,948.83,6,4.41,1,127,430,0,0,"Jun, 2025",2,703,8.84
"peso pluma exodo tour shirt",86,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1327566,62.52,13,442.71,8,4.08,1,199,,0,0,"Sep, 2024",0,10,0.97
"class of 2038 handprint shirt",387,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,741726,18.03,22,400.63,4,4.86,1,82,-34,0,-11,"Jul, 2025",0,175,4.41
"university of tennessee baseball shirt",115,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1058211,18.49,21,396.08,7,4.40,1,41,,633,-6,"Mar, 2025",0,3000,12.68
"4th of july horror shirt",106,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1162530,16.31,245,4739.46,3,4.90,1,55,-73,0,0,"Jun, 2025",1,488,93.91
"he has rizzin jesus shirt",269,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,845285,15.91,29,450.79,16,4.67,1,419,,-28,-29,"Apr, 2025",0,244,3.49
"in my mimi era shirt",365,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,1237300,16.23,39,583.92,8,4.60,1,73,,-67,-17,"May, 2025",0,345,2.80
"orange day shirt for indigenous",38,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1386405,16.1,2,22.43,5,4.90,1,0,,0,-30,"Sep, 2024",3,1000,0.84
"yer trailer or mine shirt",139,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1335525,17.99,26,487.57,3,4.56,1,79,,0,-18,"Jul, 2025",0,287,12.53
"beyonce cowboy carter t shirt",71,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,256849,18.97,243,4854.68,16,3.74,1,124,34,0,0,"Jul, 2025",2,204,169.40
"4th grade shirt for boys",331,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,229276,17,52,795.04,13,4.78,1,78,12,0,0,"Jul, 2025",3,4000,17.59
"robert graham long sleeve shirt",234,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",27,769704,88.04,20,1558.91,16,4.65,1,73,,-41,-17,"Dec, 2024",2,158,4.35
"stone cold steve austin shirt",440,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",16,465876,20.84,21,460.22,6,4.78,1,150,,65,-6,"Oct, 2024",3,100,4.06
"chinese new year t shirt",221,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1398947,17.72,5,91.88,14,4.55,1,77,526,0,-35,"Jan, 2025",2,60000,0.53
"in my lover era shirt",143,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1394524,16.81,29,479.79,19,4.74,1,193,,-100,4,"Oct, 2024",1,1000,3.04
"twinning with my bestie shirt",83,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1448527,17.13,10,157.1,10,4.45,1,239,,0,-28,"Oct, 2024",1,316,3.83
"death to my 20s shirt",366,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1467359,17.76,20,289.41,8,4.93,1,69,-25,-43,-12,"Jul, 2025",0,276,6.81
"first day of vpk shirt",390,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,540084,17.77,8,124.78,2,4.44,1,12,-17,0,-35,"Jul, 2025",2,169,4.15
"he is rizzen jesus shirt",133,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1173230,15.63,26,405.85,17,4.83,1,417,,-28,-29,"Apr, 2025",2,207,3.75
"boys pink shirt breast cancer",150,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1451991,15.87,4,54.7,12,4.74,1,277,-50,0,-6,"Oct, 2024",3,60000,1.00
"creed concert t shirt 2024",25,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,1245361,18.03,17,343.55,5,4.72,1,45,50,11,-6,"Aug, 2024",0,128,13.92
"dad of the graduate shirt",123,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1461436,17.74,6,96.88,8,4.84,1,11,,0,-15,"May, 2025",3,2000,1.55
"in my grandpa era shirt",68,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,844956,17.82,86,1754.2,20,4.89,1,504,,0,-13,"Jun, 2025",0,542,10.01
"red hot silly peppers shirt",54,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,739573,16.95,12,180.89,1,5.00,1,92,,0,-6,"Jun, 2025",1,414,-1.00
"your schedule is fine shirt",349,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1340935,18.26,6,98.73,3,4.80,1,32,,0,-27,"Aug, 2024",0,103,7.28
"trump hunting busch light shirt",248,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1215748,26.09,19,471.3,8,4.65,2,56,-8,0,-38,"Jul, 2025",2,106,11.78
"dad race car track shirt",264,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1495412,20.01,6,110.95,8,4.69,1,264,-83,-74,-23,"Jun, 2025",1,2000,1.69
"chinga la migra women's shirt",133,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,612598,18.08,53,968.8,3,3.86,1,36,,0,-12,"Jun, 2025",0,319,22.67
"mommy s little meatball shirt",279,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",22,657499,16.18,30,334.18,17,4.90,2,4,12,0,0,"Jul, 2025",0,482,0.01
"daughter of the king shirt",430,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,1321783,15.61,13,230.24,15,4.40,1,117,-39,0,-10,"Jul, 2025",2,1000,2.96
"porsche 911 gt3 rs shirt",186,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1003491,20.92,35,665.72,7,4.60,1,42,-70,0,-12,"Jun, 2025",0,222,17.40
"duke blue devils t shirt",129,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,634021,23.38,22,426.34,11,4.80,1,21,-2,0,-47,"Jul, 2025",2,334,11.91
"trump fourth of july shirt",292,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,839885,17.34,135,2529.92,17,4.82,1,204,32,0,-27,"Jun, 2025",3,975,12.45
"hello 4th grade shirt girls",678,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,316365,15.96,48,724.91,10,3.83,1,72,5,0,0,"Jul, 2025",1,868,9.73
"rock paper scissors cat shirt",292,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,1239458,15.54,26,386.31,14,4.78,1,148,-14,-21,-17,"Dec, 2024",2,212,3.19
"bad omens band t shirt",133,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1193614,20.64,22,398.91,16,4.85,4,152,,0,-39,"Jul, 2025",0,328,2.54
"here comes the bride shirt",243,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,1310591,17.49,168,2859.21,16,4.51,1,363,-72,0,-49,"Jul, 2025",0,395,13.85
"future hbcu grad shirt kids",68,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1181686,15.99,3,46.78,15,4.74,1,308,,0,-21,"Feb, 2025",0,5000,0.35
"phillies city connect t shirt",15,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,292056,25.49,144,3086.96,6,4.10,1,53,,127,-6,"Jun, 2025",0,272,143.36
"harris for the people shirt",80,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1037454,15.91,21,324.43,20,4.47,1,0,,0,-11,"Nov, 2024",2,179,3.22
"4th of july sasquatch shirt",274,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,935370,17.85,73,1298.55,16,4.69,1,235,40,0,-3,"Jun, 2025",1,793,8.60
"axolotls of the world shirt",19,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1029891,17.07,39,718.3,10,4.86,1,138,-20,0,-19,"Jun, 2025",0,443,4.50
"when tyranny becomes law shirt",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,1127403,15.73,44,512.66,10,4.73,2,37,-29,0,0,"Jun, 2025",0,136,4.86
"trump bad hombre t shirt",258,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,497751,16.25,113,1874.84,19,4.66,1,102,-87,0,-12,"Jun, 2025",0,1000,49.17
"see you later alligator shirt",162,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1480237,16.98,5,91.2,6,4.58,1,29,-57,0,-12,"May, 2025",0,246,1.00
"out of this world shirt",173,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1338917,15.26,10,150.03,6,4.68,1,17,,0,0,-,2,5000,4.80
"veterans day shirt for kids",74,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1190102,18.38,6,110.85,8,4.86,1,331,,157,-11,"Nov, 2024",3,10000,2.08
"candy cane shirt for boys",91,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1053627,17.49,15,237.35,3,5.00,1,0,,0,-14,"Nov, 2024",3,10000,0.54
"summer i turned pretty shirt",533,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,268702,17.96,236,4295.61,18,4.54,1,332,19,0,-25,"Jul, 2025",3,209,21.41
"ohio state jesus won shirt",77,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,842224,19.85,15,264.03,9,4.62,1,96,,0,-6,"Jan, 2025",1,142,4.99
"ice nine kills t shirt",228,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,632798,25.39,18,434.73,15,4.80,1,181,-45,-51,-16,"Dec, 2024",0,129,2.68
"im a delight possum shirt",54,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,494355,15.89,33,520.14,12,4.50,1,375,,-51,-9,"Jul, 2024",1,6000,2.73
