Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"sega shirt",351,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1187658,19.99,19,366.09,10,4.74,2,34,-27,400,-21,"Dec, 2024",2,932,5.82
"kfc shirt",387,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1215605,21.69,9,188.55,6,4.50,2,19,-25,-35,-27,"Dec, 2024",1,176,2.14
"grimace shirt",360,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1261424,20.6,11,242.86,14,4.83,1,194,-62,0,-27,"May, 2025",3,113,6.09
"graduate shirt",176,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",1,1226631,17.55,25,452.32,8,4.53,1,15,-17,0,-4,"May, 2025",7,10000,3.39
"pediatrics shirt",112,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",13,753290,16.77,19,290.82,7,4.59,2,116,-59,0,-9,"Jun, 2025",4,4000,5.02
"gunsmoke shirt",122,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,985280,18.33,15,256.64,13,4.44,1,169,,25,-23,"Dec, 2024",2,680,4.69
"hardy shirt",1681,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,499827,25.49,28,722.72,13,4.86,1,188,-30,0,-6,"May, 2025",5,897,6.98
"mcrib shirt",151,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,543250,21.14,126,2424.54,12,4.90,1,43,,656,-6,"Dec, 2024",1,26,8.72
"cholo shirt",446,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,767284,19.66,20,419.16,20,4.60,1,200,-45,0,0,"May, 2024",3,493,2.01
"picnic shirt",65,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",23,946632,18.6,109,2148.89,8,3.84,2,213,,0,0,"Jun, 2025",1,10000,26.66
"para shirt",611,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,360689,16.29,35,556.86,12,4.47,1,192,-5,0,-20,"Aug, 2024",4,30000,5.09
"ruka shirt",103,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,854734,19.99,28,555.41,13,4.80,1,372,,-3,-6,"Dec, 2024",0,144,2.53
"shadynastys shirt",209,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1351176,15.99,4,58.75,3,5.00,1,26,,38,-41,"Aug, 2024",0,139,1.34
