Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"grandma minnie mouse shirt",164,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,575606,22.28,61,1360.23,16,4.25,1,397,,22,-8,"Jul, 2025",0,463,8.21
"sea world t shirt",381,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",6,783414,17.19,78,1435.29,12,4.61,1,160,-55,0,-17,"Jul, 2025",0,5000,15.04
"spitters are quitters shirt",344,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1353780,18.31,63,1004.79,4,4.30,1,21,-19,0,-7,"Jul, 2025",0,517,0.00
"university of oregon shirt",225,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,532794,20.24,21,413.23,13,4.41,1,162,,52,-37,"Dec, 2024",2,789,2.12
"emergency room t shirt",439,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,943531,18.45,25,472.15,7,4.19,1,128,-33,0,0,"Jul, 2025",0,1000,6.42
"robin trower t shirt",225,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,524998,18.95,51,961.55,20,4.60,1,0,,50,13,"Feb, 2025",0,198,2.67
"oregon state baseball shirt",50,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1262516,24.9,5,104.39,2,5.00,1,2,,0,-60,"Jun, 2025",0,2000,1.92
"sigma gamma rho shirt",108,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1133840,21.17,8,165.25,9,4.10,1,209,,24,-15,"Mar, 2025",2,351,0.93
"birthday cruise t shirt",36,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,670710,16.57,16,250.59,11,4.78,1,85,21,6,0,"Jun, 2025",0,5000,4.61
"jesus is rizzen shirt",57,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1404022,16.3,22,349.16,14,4.77,1,388,,50,-29,"Mar, 2024",3,2000,3.41
"sixth grade teacher shirt",452,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,310763,16.79,57,922.14,5,4.62,1,52,-11,0,0,"Aug, 2024",0,973,73.34
"trump shirt for cats",108,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1380569,17.13,6,92.21,12,4.57,1,80,,0,-32,"Sep, 2024",3,329,0.93
"trump better coverage shirt",116,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1081716,17.5,68,1099.77,18,4.58,1,68,,0,-1,"Nov, 2024",3,358,8.81
